Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,kuhar,axis,LIME,0.8928571428571429,0.8918650793650794,24,16
Decision Tree,kuhar,kuhar,axis,LIME,0.8928571428571429,0.8934538491948794,23,23
Decision Tree,kuhar,kuhar,axis,LIME,0.8452380952380952,0.8464860766473669,22,14
Decision Tree,kuhar,kuhar,axis,LIME,0.8511904761904762,0.8519895714785722,21,1
Decision Tree,kuhar,kuhar,axis,LIME,0.8690476190476191,0.8692176282667964,20,20
Decision Tree,kuhar,kuhar,axis,LIME,0.8333333333333334,0.8321114854599957,19,3
Decision Tree,kuhar,kuhar,axis,LIME,0.8571428571428571,0.8573290993633073,18,15
Decision Tree,kuhar,kuhar,axis,LIME,0.8095238095238095,0.8062093778630515,17,10
Decision Tree,kuhar,kuhar,axis,LIME,0.8154761904761905,0.8104230855759237,16,5
Decision Tree,kuhar,kuhar,axis,LIME,0.8511904761904762,0.8501630498976794,15,9
Decision Tree,kuhar,kuhar,axis,LIME,0.8392857142857143,0.8371672556481075,14,4
Decision Tree,kuhar,kuhar,axis,LIME,0.8333333333333334,0.832711770566565,13,2
Decision Tree,kuhar,kuhar,axis,LIME,0.7916666666666666,0.7879480815802783,12,22
Decision Tree,kuhar,kuhar,axis,LIME,0.7678571428571429,0.7644562025758059,11,12
Decision Tree,kuhar,kuhar,axis,LIME,0.7797619047619048,0.7781180809493723,10,0
Decision Tree,kuhar,kuhar,axis,LIME,0.6488095238095238,0.6625583939869655,9,21
Decision Tree,kuhar,kuhar,axis,LIME,0.6666666666666666,0.6685172773171848,8,18
Decision Tree,kuhar,kuhar,axis,LIME,0.6785714285714286,0.6794133512793571,7,8
Decision Tree,kuhar,kuhar,axis,LIME,0.6309523809523809,0.6332894575801572,6,13
Decision Tree,kuhar,kuhar,axis,LIME,0.5654761904761905,0.5650796085491998,5,7
Decision Tree,kuhar,kuhar,axis,LIME,0.5535714285714286,0.5516238626408118,4,6
Decision Tree,kuhar,kuhar,axis,LIME,0.5297619047619048,0.5267121075873534,3,19
Decision Tree,kuhar,kuhar,axis,LIME,0.4821428571428571,0.4747114489062912,2,11
Decision Tree,kuhar,kuhar,axis,LIME,0.42857142857142855,0.42647477358665714,1,17
