Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8918650793650794,24,23
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8630952380952381,0.8636596119929454,23,21
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8511904761904762,0.8523338680201425,22,10
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8511904761904762,0.8523338680201425,21,11
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8333333333333334,0.8327897401807984,20,1
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8214285714285714,0.8175378248770685,19,20
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8095238095238095,0.8071776444410146,18,7
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8214285714285714,0.819185362456189,17,19
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8511904761904762,0.8503444177111102,16,22
Decision Tree,kuhar,kuhar,axis,ORACLE,0.7976190476190477,0.790343558092396,15,12
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8095238095238095,0.801770552766047,14,3
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8273809523809523,0.8209811289679444,13,17
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8452380952380952,0.8406923433020622,12,6
Decision Tree,kuhar,kuhar,axis,ORACLE,0.7976190476190477,0.790805159813981,11,18
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8214285714285714,0.8158536230441521,10,15
Decision Tree,kuhar,kuhar,axis,ORACLE,0.8035714285714286,0.8004493363566546,9,13
Decision Tree,kuhar,kuhar,axis,ORACLE,0.7797619047619048,0.7755372664119463,8,0
Decision Tree,kuhar,kuhar,axis,ORACLE,0.7797619047619048,0.7785029861067754,7,14
Decision Tree,kuhar,kuhar,axis,ORACLE,0.6488095238095238,0.6509179544570742,6,2
Decision Tree,kuhar,kuhar,axis,ORACLE,0.6309523809523809,0.6340602283352766,5,9
Decision Tree,kuhar,kuhar,axis,ORACLE,0.6011904761904762,0.606580986647259,4,8
Decision Tree,kuhar,kuhar,axis,ORACLE,0.5952380952380952,0.6013740630142307,3,5
Decision Tree,kuhar,kuhar,axis,ORACLE,0.5535714285714286,0.5586565110374634,2,16
Decision Tree,kuhar,kuhar,axis,ORACLE,0.5714285714285714,0.5735134282813056,1,4
