Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,kuhar,axis,Tree,0.8928571428571429,0.8918650793650794,24,16
Decision Tree,kuhar,kuhar,axis,Tree,0.8928571428571429,0.8934538491948794,23,1
Decision Tree,kuhar,kuhar,axis,Tree,0.8928571428571429,0.8932814737412439,22,23
Decision Tree,kuhar,kuhar,axis,Tree,0.8214285714285714,0.82260448703988,21,14
Decision Tree,kuhar,kuhar,axis,Tree,0.8690476190476191,0.8692176282667964,20,12
Decision Tree,kuhar,kuhar,axis,Tree,0.8630952380952381,0.8629297594531314,19,10
Decision Tree,kuhar,kuhar,axis,Tree,0.8511904761904762,0.8496623116162353,18,15
Decision Tree,kuhar,kuhar,axis,Tree,0.7857142857142857,0.7819007254024775,17,20
Decision Tree,kuhar,kuhar,axis,Tree,0.7976190476190477,0.7948729808462033,16,7
Decision Tree,kuhar,kuhar,axis,Tree,0.7559523809523809,0.7511032598636961,15,4
Decision Tree,kuhar,kuhar,axis,Tree,0.7321428571428571,0.7301048872536605,14,2
Decision Tree,kuhar,kuhar,axis,Tree,0.7321428571428571,0.7332561790969464,13,3
Decision Tree,kuhar,kuhar,axis,Tree,0.7380952380952381,0.7344753950182618,12,18
Decision Tree,kuhar,kuhar,axis,Tree,0.7321428571428571,0.7287938304529336,11,22
Decision Tree,kuhar,kuhar,axis,Tree,0.75,0.747466201599416,10,17
Decision Tree,kuhar,kuhar,axis,Tree,0.7559523809523809,0.7510853937316747,9,9
Decision Tree,kuhar,kuhar,axis,Tree,0.7380952380952381,0.7332519825255903,8,0
Decision Tree,kuhar,kuhar,axis,Tree,0.6428571428571429,0.6520739884389282,7,11
Decision Tree,kuhar,kuhar,axis,Tree,0.6547619047619048,0.6543003851298588,6,13
Decision Tree,kuhar,kuhar,axis,Tree,0.5952380952380952,0.596837727116365,5,21
Decision Tree,kuhar,kuhar,axis,Tree,0.5952380952380952,0.6001102801725505,4,8
Decision Tree,kuhar,kuhar,axis,Tree,0.5297619047619048,0.5226319053068086,3,6
Decision Tree,kuhar,kuhar,axis,Tree,0.369047619047619,0.369878709650589,2,5
Decision Tree,kuhar,kuhar,axis,Tree,0.34523809523809523,0.34289834692311477,1,19
