Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,kuhar,axis,ORACLE,0.9166666666666666,0.915427236777632,24,1
KNN,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8921233479612184,23,22
KNN,kuhar,kuhar,axis,ORACLE,0.8988095238095238,0.8973637261600592,22,2
KNN,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8915015425958096,21,12
KNN,kuhar,kuhar,axis,ORACLE,0.8869047619047619,0.8851994043464098,20,11
KNN,kuhar,kuhar,axis,ORACLE,0.8809523809523809,0.8793178038769245,19,21
KNN,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.89125671478229,18,4
KNN,kuhar,kuhar,axis,ORACLE,0.8869047619047619,0.8848562234614604,17,20
KNN,kuhar,kuhar,axis,ORACLE,0.8809523809523809,0.8789815149035732,16,19
KNN,kuhar,kuhar,axis,ORACLE,0.8869047619047619,0.8850972865560681,15,7
KNN,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8914980665326723,14,18
KNN,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.89156465521565,13,17
KNN,kuhar,kuhar,axis,ORACLE,0.8988095238095238,0.8972451929694539,12,10
KNN,kuhar,kuhar,axis,ORACLE,0.875,0.8720898442365619,11,15
KNN,kuhar,kuhar,axis,ORACLE,0.8809523809523809,0.8799283416948268,10,0
KNN,kuhar,kuhar,axis,ORACLE,0.8690476190476191,0.8694800728733073,9,13
KNN,kuhar,kuhar,axis,ORACLE,0.8690476190476191,0.866976873088309,8,9
KNN,kuhar,kuhar,axis,ORACLE,0.8630952380952381,0.8606479247221173,7,8
KNN,kuhar,kuhar,axis,ORACLE,0.8571428571428571,0.8550502230100391,6,5
KNN,kuhar,kuhar,axis,ORACLE,0.875,0.8753389534222554,5,3
KNN,kuhar,kuhar,axis,ORACLE,0.8392857142857143,0.838487097697624,4,23
KNN,kuhar,kuhar,axis,ORACLE,0.7738095238095238,0.7623150894032834,3,6
KNN,kuhar,kuhar,axis,ORACLE,0.7440476190476191,0.7304139845592433,2,16
KNN,kuhar,kuhar,axis,ORACLE,0.4642857142857143,0.4629377745233422,1,14
