Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.915427236777632,24,16
KNN,kuhar,kuhar,axis,SHAP,0.9404761904761904,0.9396852509908984,23,8
KNN,kuhar,kuhar,axis,SHAP,0.9345238095238096,0.9332976704375394,22,1
KNN,kuhar,kuhar,axis,SHAP,0.9047619047619048,0.903698961723822,21,12
KNN,kuhar,kuhar,axis,SHAP,0.9226190476190476,0.922672072123032,20,4
KNN,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9167787982670014,19,15
KNN,kuhar,kuhar,axis,SHAP,0.8988095238095238,0.8996487629811663,18,0
KNN,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8717232787594423,17,20
KNN,kuhar,kuhar,axis,SHAP,0.8869047619047619,0.8881643654867698,16,23
KNN,kuhar,kuhar,axis,SHAP,0.8928571428571429,0.8933635778040937,15,14
KNN,kuhar,kuhar,axis,SHAP,0.8333333333333334,0.8354103790945898,14,13
KNN,kuhar,kuhar,axis,SHAP,0.8214285714285714,0.8245779954400643,13,3
KNN,kuhar,kuhar,axis,SHAP,0.7857142857142857,0.7866056673099578,12,10
KNN,kuhar,kuhar,axis,SHAP,0.75,0.7530511668677721,11,21
KNN,kuhar,kuhar,axis,SHAP,0.7619047619047619,0.761036254865656,10,6
KNN,kuhar,kuhar,axis,SHAP,0.7321428571428571,0.7306836561737168,9,22
KNN,kuhar,kuhar,axis,SHAP,0.7023809523809523,0.7000775473762442,8,11
KNN,kuhar,kuhar,axis,SHAP,0.6726190476190477,0.6760011956480222,7,19
KNN,kuhar,kuhar,axis,SHAP,0.6488095238095238,0.6545681223842142,6,2
KNN,kuhar,kuhar,axis,SHAP,0.6369047619047619,0.640603178080931,5,9
KNN,kuhar,kuhar,axis,SHAP,0.5773809523809523,0.5831438047855958,4,5
KNN,kuhar,kuhar,axis,SHAP,0.6071428571428571,0.6064593740776836,3,17
KNN,kuhar,kuhar,axis,SHAP,0.5535714285714286,0.5521030993042378,2,7
KNN,kuhar,kuhar,axis,SHAP,0.2976190476190476,0.3006632565712469,1,18
