Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,kuhar,axis,LIME,0.9166666666666666,0.9164835164835164,24,1
Random Forest,kuhar,kuhar,axis,LIME,0.9047619047619048,0.9039986004898284,23,12
Random Forest,kuhar,kuhar,axis,LIME,0.9107142857142856,0.910048472161702,22,20
Random Forest,kuhar,kuhar,axis,LIME,0.9107142857142856,0.910048472161702,21,0
Random Forest,kuhar,kuhar,axis,LIME,0.9047619047619048,0.9034983248954184,20,16
Random Forest,kuhar,kuhar,axis,LIME,0.9107142857142856,0.909731587997268,19,10
Random Forest,kuhar,kuhar,axis,LIME,0.8928571428571429,0.891158267020336,18,3
Random Forest,kuhar,kuhar,axis,LIME,0.8928571428571429,0.8908482028792536,17,4
Random Forest,kuhar,kuhar,axis,LIME,0.8928571428571429,0.8915592992051935,16,2
Random Forest,kuhar,kuhar,axis,LIME,0.8928571428571429,0.8914618902825362,15,23
Random Forest,kuhar,kuhar,axis,LIME,0.8690476190476191,0.8649604392181174,14,15
Random Forest,kuhar,kuhar,axis,LIME,0.8809523809523809,0.8785651287300537,13,14
Random Forest,kuhar,kuhar,axis,LIME,0.7738095238095238,0.7761170386084594,12,8
Random Forest,kuhar,kuhar,axis,LIME,0.7559523809523809,0.758574993176949,11,22
Random Forest,kuhar,kuhar,axis,LIME,0.7797619047619048,0.7834211356763151,10,6
Random Forest,kuhar,kuhar,axis,LIME,0.7857142857142857,0.7886329507528047,9,5
Random Forest,kuhar,kuhar,axis,LIME,0.7738095238095238,0.775936228285623,8,18
Random Forest,kuhar,kuhar,axis,LIME,0.7678571428571429,0.7690422137916989,7,21
Random Forest,kuhar,kuhar,axis,LIME,0.7738095238095238,0.7726361266093257,6,11
Random Forest,kuhar,kuhar,axis,LIME,0.7202380952380952,0.7195793731580461,5,13
Random Forest,kuhar,kuhar,axis,LIME,0.6190476190476191,0.6193819772464176,4,17
Random Forest,kuhar,kuhar,axis,LIME,0.6369047619047619,0.6325303481124066,3,19
Random Forest,kuhar,kuhar,axis,LIME,0.6071428571428571,0.6065929309224704,2,7
Random Forest,kuhar,kuhar,axis,LIME,0.35119047619047616,0.3474318271406927,1,9
