Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,kuhar,axis,ORACLE,0.9166666666666666,0.9164835164835164,24,0
Random Forest,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8919626063235642,23,10
Random Forest,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8916436027051547,22,21
Random Forest,kuhar,kuhar,axis,ORACLE,0.9107142857142856,0.910096336412126,21,13
Random Forest,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8925487687879757,20,9
Random Forest,kuhar,kuhar,axis,ORACLE,0.8869047619047619,0.8857544486868036,19,11
Random Forest,kuhar,kuhar,axis,ORACLE,0.8928571428571429,0.8925487687879757,18,23
Random Forest,kuhar,kuhar,axis,ORACLE,0.8690476190476191,0.8696773559743881,17,1
Random Forest,kuhar,kuhar,axis,ORACLE,0.8452380952380952,0.8444994035518537,16,20
Random Forest,kuhar,kuhar,axis,ORACLE,0.8452380952380952,0.8450088822784269,15,18
Random Forest,kuhar,kuhar,axis,ORACLE,0.8630952380952381,0.8616235523655714,14,16
Random Forest,kuhar,kuhar,axis,ORACLE,0.8630952380952381,0.8622209780236694,13,15
Random Forest,kuhar,kuhar,axis,ORACLE,0.8571428571428571,0.8562621487441567,12,5
Random Forest,kuhar,kuhar,axis,ORACLE,0.8452380952380952,0.8447051299208592,11,14
Random Forest,kuhar,kuhar,axis,ORACLE,0.8690476190476191,0.8671283577533577,10,8
Random Forest,kuhar,kuhar,axis,ORACLE,0.8690476190476191,0.8686624486624486,9,22
Random Forest,kuhar,kuhar,axis,ORACLE,0.8154761904761905,0.8156158396823948,8,3
Random Forest,kuhar,kuhar,axis,ORACLE,0.7976190476190477,0.798323910864344,7,17
Random Forest,kuhar,kuhar,axis,ORACLE,0.7976190476190477,0.7984059150725816,6,4
Random Forest,kuhar,kuhar,axis,ORACLE,0.7738095238095238,0.7740849496496457,5,7
Random Forest,kuhar,kuhar,axis,ORACLE,0.7261904761904762,0.7289087947004352,4,12
Random Forest,kuhar,kuhar,axis,ORACLE,0.5773809523809523,0.5793671581843703,3,19
Random Forest,kuhar,kuhar,axis,ORACLE,0.5833333333333334,0.5811619192404149,2,2
Random Forest,kuhar,kuhar,axis,ORACLE,0.43452380952380953,0.4360223953339344,1,6
