Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,24,14
Random Forest,kuhar,kuhar,axis,SHAP,0.9107142857142856,0.9105140473561524,23,23
Random Forest,kuhar,kuhar,axis,SHAP,0.9047619047619048,0.9046248933378012,22,1
Random Forest,kuhar,kuhar,axis,SHAP,0.8928571428571429,0.89216470509706,21,15
Random Forest,kuhar,kuhar,axis,SHAP,0.8571428571428571,0.8580712624979668,20,12
Random Forest,kuhar,kuhar,axis,SHAP,0.8214285714285714,0.8217142032701478,19,0
Random Forest,kuhar,kuhar,axis,SHAP,0.8214285714285714,0.8252377965940649,18,4
Random Forest,kuhar,kuhar,axis,SHAP,0.8214285714285714,0.8245211251471578,17,16
Random Forest,kuhar,kuhar,axis,SHAP,0.7916666666666666,0.7947223038303596,16,22
Random Forest,kuhar,kuhar,axis,SHAP,0.8511904761904762,0.8511627860866463,15,2
Random Forest,kuhar,kuhar,axis,SHAP,0.8273809523809523,0.8290359600599552,14,20
Random Forest,kuhar,kuhar,axis,SHAP,0.8333333333333334,0.8337891627491744,13,3
Random Forest,kuhar,kuhar,axis,SHAP,0.8095238095238095,0.8109558715595084,12,10
Random Forest,kuhar,kuhar,axis,SHAP,0.8035714285714286,0.8051079183431341,11,5
Random Forest,kuhar,kuhar,axis,SHAP,0.7916666666666666,0.7943009470025549,10,8
Random Forest,kuhar,kuhar,axis,SHAP,0.7857142857142857,0.7881284830471181,9,6
Random Forest,kuhar,kuhar,axis,SHAP,0.7738095238095238,0.775936228285623,8,13
Random Forest,kuhar,kuhar,axis,SHAP,0.7440476190476191,0.7505862024819928,7,21
Random Forest,kuhar,kuhar,axis,SHAP,0.7321428571428571,0.7333467850417003,6,11
Random Forest,kuhar,kuhar,axis,SHAP,0.6309523809523809,0.6338641918492546,5,17
Random Forest,kuhar,kuhar,axis,SHAP,0.6666666666666666,0.6686663886932956,4,18
Random Forest,kuhar,kuhar,axis,SHAP,0.6369047619047619,0.6325303481124066,3,19
Random Forest,kuhar,kuhar,axis,SHAP,0.6071428571428571,0.6065929309224704,2,7
Random Forest,kuhar,kuhar,axis,SHAP,0.35119047619047616,0.3474318271406927,1,9
