Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,kuhar,axis,LIME,0.8690476190476191,0.8656773287497881,24,16
SVM,kuhar,kuhar,axis,LIME,0.8690476190476191,0.8652423136622694,23,4
SVM,kuhar,kuhar,axis,LIME,0.8690476190476191,0.8652423136622694,22,0
SVM,kuhar,kuhar,axis,LIME,0.8809523809523809,0.8779185905622687,21,8
SVM,kuhar,kuhar,axis,LIME,0.8928571428571429,0.8904753405670519,20,20
SVM,kuhar,kuhar,axis,LIME,0.8988095238095238,0.8972859937362075,19,1
SVM,kuhar,kuhar,axis,LIME,0.8809523809523809,0.8805568151696974,18,15
SVM,kuhar,kuhar,axis,LIME,0.8869047619047619,0.8871591421954399,17,23
SVM,kuhar,kuhar,axis,LIME,0.8869047619047619,0.886882544745926,16,12
SVM,kuhar,kuhar,axis,LIME,0.8690476190476191,0.8683907811266303,15,21
SVM,kuhar,kuhar,axis,LIME,0.8452380952380952,0.8421363577575974,14,14
SVM,kuhar,kuhar,axis,LIME,0.7738095238095238,0.7682357573441444,13,3
SVM,kuhar,kuhar,axis,LIME,0.8154761904761905,0.8117715476565471,12,10
SVM,kuhar,kuhar,axis,LIME,0.7678571428571429,0.7658638539590922,11,13
SVM,kuhar,kuhar,axis,LIME,0.7321428571428571,0.7281151596941071,10,22
SVM,kuhar,kuhar,axis,LIME,0.6964285714285714,0.6923824817283236,9,6
SVM,kuhar,kuhar,axis,LIME,0.6845238095238095,0.6813806850387664,8,2
SVM,kuhar,kuhar,axis,LIME,0.6488095238095238,0.6465490416578702,7,9
SVM,kuhar,kuhar,axis,LIME,0.6547619047619048,0.6523189903912773,6,5
SVM,kuhar,kuhar,axis,LIME,0.6845238095238095,0.6821978274476045,5,11
SVM,kuhar,kuhar,axis,LIME,0.5654761904761905,0.569588902965651,4,17
SVM,kuhar,kuhar,axis,LIME,0.5952380952380952,0.5963168270888533,3,19
SVM,kuhar,kuhar,axis,LIME,0.6130952380952381,0.6166355223172456,2,18
SVM,kuhar,kuhar,axis,LIME,0.5238095238095238,0.5026154705928009,1,7
