Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8656773287497881,24,16
SVM,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8652423136622694,23,4
SVM,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8652423136622694,22,1
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8597483744720207,21,8
SVM,kuhar,kuhar,axis,SHAP,0.875,0.8715323541889114,20,0
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8611642828228424,19,15
SVM,kuhar,kuhar,axis,SHAP,0.8928571428571429,0.8931797009069661,18,12
SVM,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8813473076630971,17,23
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8630515683147263,16,20
SVM,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8683907811266303,15,14
SVM,kuhar,kuhar,axis,SHAP,0.8035714285714286,0.8033661742495551,14,13
SVM,kuhar,kuhar,axis,SHAP,0.7559523809523809,0.7556990191772801,13,3
SVM,kuhar,kuhar,axis,SHAP,0.7797619047619048,0.7810238952446779,12,10
SVM,kuhar,kuhar,axis,SHAP,0.7440476190476191,0.7488854731847857,11,21
SVM,kuhar,kuhar,axis,SHAP,0.7321428571428571,0.7281151596941071,10,22
SVM,kuhar,kuhar,axis,SHAP,0.6964285714285714,0.6923824817283236,9,11
SVM,kuhar,kuhar,axis,SHAP,0.6607142857142857,0.665982415592139,8,6
SVM,kuhar,kuhar,axis,SHAP,0.5892857142857143,0.5951198919284026,7,2
SVM,kuhar,kuhar,axis,SHAP,0.5476190476190477,0.5540442056366183,6,17
SVM,kuhar,kuhar,axis,SHAP,0.5476190476190477,0.548019978106185,5,9
SVM,kuhar,kuhar,axis,SHAP,0.5714285714285714,0.5731518227061584,4,5
SVM,kuhar,kuhar,axis,SHAP,0.5952380952380952,0.5963168270888533,3,7
SVM,kuhar,kuhar,axis,SHAP,0.4464285714285714,0.4504765180926171,2,18
SVM,kuhar,kuhar,axis,SHAP,0.3630952380952381,0.32213411743255504,1,19
