Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,motionsense,axis,LIME,0.6964285714285714,0.7002992809495944,24,4
Decision Tree,motionsense,motionsense,axis,LIME,0.6547619047619048,0.6564363626232866,23,5
Decision Tree,motionsense,motionsense,axis,LIME,0.6488095238095238,0.6499524261789523,22,19
Decision Tree,motionsense,motionsense,axis,LIME,0.6845238095238095,0.6848023036852825,21,9
Decision Tree,motionsense,motionsense,axis,LIME,0.7559523809523809,0.7561032754581142,20,10
Decision Tree,motionsense,motionsense,axis,LIME,0.7380952380952381,0.7323761869762996,19,6
Decision Tree,motionsense,motionsense,axis,LIME,0.7142857142857143,0.7159400953532614,18,7
Decision Tree,motionsense,motionsense,axis,LIME,0.7261904761904762,0.7294837878171211,17,3
Decision Tree,motionsense,motionsense,axis,LIME,0.7083333333333334,0.7059678069420344,16,12
Decision Tree,motionsense,motionsense,axis,LIME,0.7976190476190477,0.7972862966547009,15,11
Decision Tree,motionsense,motionsense,axis,LIME,0.7261904761904762,0.7296696329095876,14,8
Decision Tree,motionsense,motionsense,axis,LIME,0.6904761904761905,0.6970836712740155,13,13
Decision Tree,motionsense,motionsense,axis,LIME,0.6547619047619048,0.6671276734883745,12,23
Decision Tree,motionsense,motionsense,axis,LIME,0.6488095238095238,0.6601342029349053,11,15
Decision Tree,motionsense,motionsense,axis,LIME,0.6488095238095238,0.6558234342785664,10,22
Decision Tree,motionsense,motionsense,axis,LIME,0.6666666666666666,0.6722682326331904,9,2
Decision Tree,motionsense,motionsense,axis,LIME,0.6607142857142857,0.6653293187716788,8,16
Decision Tree,motionsense,motionsense,axis,LIME,0.6666666666666666,0.6753122079209035,7,18
Decision Tree,motionsense,motionsense,axis,LIME,0.6666666666666666,0.6778874425102545,6,0
Decision Tree,motionsense,motionsense,axis,LIME,0.6607142857142857,0.6682362347571159,5,17
Decision Tree,motionsense,motionsense,axis,LIME,0.6130952380952381,0.6134473128539588,4,20
Decision Tree,motionsense,motionsense,axis,LIME,0.6071428571428571,0.613237091974837,3,1
Decision Tree,motionsense,motionsense,axis,LIME,0.5178571428571429,0.5280546805863493,2,21
Decision Tree,motionsense,motionsense,axis,LIME,0.39880952380952384,0.39884941182440253,1,14
