Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.7002992809495944,24,7
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6309523809523809,0.6347847886769227,23,4
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6428571428571429,0.6462445455452811,22,0
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6547619047619048,0.6527285695213677,21,8
Decision Tree,motionsense,motionsense,axis,ORACLE,0.625,0.6279760160956195,20,2
Decision Tree,motionsense,motionsense,axis,ORACLE,0.625,0.625041282642089,19,5
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6190476190476191,0.6077421791309928,18,6
Decision Tree,motionsense,motionsense,axis,ORACLE,0.5952380952380952,0.5967050126125439,17,1
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6130952380952381,0.6136059014871337,16,18
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6071428571428571,0.6080692804385323,15,10
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6011904761904762,0.6055463210925397,14,21
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6071428571428571,0.6097005385458115,13,22
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6547619047619048,0.6511448008056261,12,23
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6428571428571429,0.6409186241873983,11,15
Decision Tree,motionsense,motionsense,axis,ORACLE,0.625,0.6304785045000003,10,16
Decision Tree,motionsense,motionsense,axis,ORACLE,0.5535714285714286,0.5614160023943504,9,20
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6309523809523809,0.637223478769369,8,13
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7142857142857143,0.7209850850824483,7,14
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7202380952380952,0.7220993469145564,6,17
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7202380952380952,0.7227926685200057,5,11
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6011904761904762,0.6101019888794015,4,9
Decision Tree,motionsense,motionsense,axis,ORACLE,0.5416666666666666,0.5462229367736658,3,19
Decision Tree,motionsense,motionsense,axis,ORACLE,0.5357142857142857,0.5339562724444978,2,12
Decision Tree,motionsense,motionsense,axis,ORACLE,0.3630952380952381,0.36330181443748794,1,3
