Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,motionsense,axis,ORACLE,0.7797619047619048,0.7833414753682556,24,11
KNN,motionsense,motionsense,axis,ORACLE,0.7559523809523809,0.761278177069999,23,2
KNN,motionsense,motionsense,axis,ORACLE,0.7559523809523809,0.7609164862781063,22,6
KNN,motionsense,motionsense,axis,ORACLE,0.7440476190476191,0.7480884540952354,21,7
KNN,motionsense,motionsense,axis,ORACLE,0.7440476190476191,0.7478192788260601,20,9
KNN,motionsense,motionsense,axis,ORACLE,0.75,0.7538864792480992,19,13
KNN,motionsense,motionsense,axis,ORACLE,0.7440476190476191,0.7446321857832795,18,5
KNN,motionsense,motionsense,axis,ORACLE,0.7202380952380952,0.723806958938694,17,10
KNN,motionsense,motionsense,axis,ORACLE,0.7142857142857143,0.7184776062732358,16,15
KNN,motionsense,motionsense,axis,ORACLE,0.7083333333333334,0.7105928515794716,15,14
KNN,motionsense,motionsense,axis,ORACLE,0.7083333333333334,0.710869164613768,14,19
KNN,motionsense,motionsense,axis,ORACLE,0.7023809523809523,0.7031780061144798,13,21
KNN,motionsense,motionsense,axis,ORACLE,0.7023809523809523,0.7046819898604167,12,18
KNN,motionsense,motionsense,axis,ORACLE,0.7202380952380952,0.722702135236132,11,4
KNN,motionsense,motionsense,axis,ORACLE,0.6666666666666666,0.671369079263816,10,3
KNN,motionsense,motionsense,axis,ORACLE,0.6607142857142857,0.665065124933546,9,1
KNN,motionsense,motionsense,axis,ORACLE,0.6607142857142857,0.666140175621976,8,22
KNN,motionsense,motionsense,axis,ORACLE,0.6547619047619048,0.6614759806552848,7,17
KNN,motionsense,motionsense,axis,ORACLE,0.6369047619047619,0.6456064445451785,6,0
KNN,motionsense,motionsense,axis,ORACLE,0.6607142857142857,0.6645128728918811,5,12
KNN,motionsense,motionsense,axis,ORACLE,0.6071428571428571,0.6177559860318481,4,20
KNN,motionsense,motionsense,axis,ORACLE,0.6130952380952381,0.6201962524104692,3,8
KNN,motionsense,motionsense,axis,ORACLE,0.5535714285714286,0.556045751633987,2,16
KNN,motionsense,motionsense,axis,ORACLE,0.4226190476190476,0.41267896627971257,1,23
