Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7833414753682556,24,4
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7828663733700248,23,16
KNN,motionsense,motionsense,axis,SHAP,0.7916666666666666,0.794781975464215,22,8
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7830186524569016,21,13
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7837305167950329,20,5
KNN,motionsense,motionsense,axis,SHAP,0.7559523809523809,0.7619197616398995,19,12
KNN,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.779721595454354,18,6
KNN,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7454083417742566,17,0
KNN,motionsense,motionsense,axis,SHAP,0.7619047619047619,0.768988421350633,16,20
KNN,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7750790363950881,15,17
KNN,motionsense,motionsense,axis,SHAP,0.7619047619047619,0.7673403853791263,14,10
KNN,motionsense,motionsense,axis,SHAP,0.7202380952380952,0.7274384942778451,13,1
KNN,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.750150528028092,12,23
KNN,motionsense,motionsense,axis,SHAP,0.7559523809523809,0.757954040814577,11,19
KNN,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.7480897690617465,10,18
KNN,motionsense,motionsense,axis,SHAP,0.7321428571428571,0.7381351695689932,9,11
KNN,motionsense,motionsense,axis,SHAP,0.7202380952380952,0.727788469745862,8,21
KNN,motionsense,motionsense,axis,SHAP,0.7023809523809523,0.7051635734865549,7,3
KNN,motionsense,motionsense,axis,SHAP,0.7083333333333334,0.7182230300938328,6,9
KNN,motionsense,motionsense,axis,SHAP,0.6666666666666666,0.6648618742368742,5,22
KNN,motionsense,motionsense,axis,SHAP,0.7142857142857143,0.7110458328211805,4,15
KNN,motionsense,motionsense,axis,SHAP,0.7023809523809523,0.7016248370273793,3,7
KNN,motionsense,motionsense,axis,SHAP,0.6130952380952381,0.6162606054355876,2,2
KNN,motionsense,motionsense,axis,SHAP,0.4642857142857143,0.4690203171508764,1,14
