Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,motionsense,axis,LIME,0.8214285714285714,0.8240506917157998,24,20
Random Forest,motionsense,motionsense,axis,LIME,0.8333333333333334,0.8366402116402116,23,4
Random Forest,motionsense,motionsense,axis,LIME,0.8452380952380952,0.8478988911258108,22,0
Random Forest,motionsense,motionsense,axis,LIME,0.8273809523809523,0.8297824099812332,21,8
Random Forest,motionsense,motionsense,axis,LIME,0.8095238095238095,0.8131084888905692,20,5
Random Forest,motionsense,motionsense,axis,LIME,0.8273809523809523,0.8302343320309126,19,3
Random Forest,motionsense,motionsense,axis,LIME,0.8392857142857143,0.8420141589487419,18,13
Random Forest,motionsense,motionsense,axis,LIME,0.8392857142857143,0.8431898167696764,17,6
Random Forest,motionsense,motionsense,axis,LIME,0.8095238095238095,0.812505776721463,16,12
Random Forest,motionsense,motionsense,axis,LIME,0.8154761904761905,0.8179629518176356,15,2
Random Forest,motionsense,motionsense,axis,LIME,0.8035714285714286,0.8052441606412741,14,18
Random Forest,motionsense,motionsense,axis,LIME,0.8214285714285714,0.8236049069682387,13,16
Random Forest,motionsense,motionsense,axis,LIME,0.8452380952380952,0.8488113113192514,12,1
Random Forest,motionsense,motionsense,axis,LIME,0.8154761904761905,0.8216826445165215,11,10
Random Forest,motionsense,motionsense,axis,LIME,0.8095238095238095,0.8149674095005164,10,9
Random Forest,motionsense,motionsense,axis,LIME,0.7678571428571429,0.773972183011808,9,17
Random Forest,motionsense,motionsense,axis,LIME,0.7440476190476191,0.7473945296340702,8,11
Random Forest,motionsense,motionsense,axis,LIME,0.6726190476190477,0.6860429860161216,7,7
Random Forest,motionsense,motionsense,axis,LIME,0.6369047619047619,0.6487361572275535,6,21
Random Forest,motionsense,motionsense,axis,LIME,0.6428571428571429,0.6518106678783594,5,23
Random Forest,motionsense,motionsense,axis,LIME,0.625,0.6360004706083683,4,15
Random Forest,motionsense,motionsense,axis,LIME,0.5892857142857143,0.6060645049501664,3,19
Random Forest,motionsense,motionsense,axis,LIME,0.4523809523809524,0.4573148724092121,2,22
Random Forest,motionsense,motionsense,axis,LIME,0.39880952380952384,0.39884941182440253,1,14
