Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,motionsense,axis,LIME,0.8035714285714286,0.8038805976247091,24,4
SVM,motionsense,motionsense,axis,LIME,0.8095238095238095,0.8102434994147032,23,16
SVM,motionsense,motionsense,axis,LIME,0.8154761904761905,0.8162434057170899,22,8
SVM,motionsense,motionsense,axis,LIME,0.8214285714285714,0.8236924203464594,21,0
SVM,motionsense,motionsense,axis,LIME,0.8154761904761905,0.8178926437547127,20,12
SVM,motionsense,motionsense,axis,LIME,0.8154761904761905,0.8170243802444542,19,13
SVM,motionsense,motionsense,axis,LIME,0.8392857142857143,0.8373857325470229,18,20
SVM,motionsense,motionsense,axis,LIME,0.8630952380952381,0.8603866970997115,17,5
SVM,motionsense,motionsense,axis,LIME,0.8214285714285714,0.8225884304548706,16,6
SVM,motionsense,motionsense,axis,LIME,0.8095238095238095,0.8097264636848891,15,1
SVM,motionsense,motionsense,axis,LIME,0.7797619047619048,0.7816746475690031,14,3
SVM,motionsense,motionsense,axis,LIME,0.8035714285714286,0.8052793786989394,13,23
SVM,motionsense,motionsense,axis,LIME,0.8214285714285714,0.8213786460513263,12,10
SVM,motionsense,motionsense,axis,LIME,0.8095238095238095,0.810142146245929,11,17
SVM,motionsense,motionsense,axis,LIME,0.7619047619047619,0.7670762282554566,10,18
SVM,motionsense,motionsense,axis,LIME,0.7916666666666666,0.7921401019737098,9,11
SVM,motionsense,motionsense,axis,LIME,0.7619047619047619,0.7617648100643973,8,21
SVM,motionsense,motionsense,axis,LIME,0.7916666666666666,0.7931243254626339,7,2
SVM,motionsense,motionsense,axis,LIME,0.7142857142857143,0.7211672108763595,6,9
SVM,motionsense,motionsense,axis,LIME,0.6666666666666666,0.6635177664528246,5,15
SVM,motionsense,motionsense,axis,LIME,0.6369047619047619,0.6349800759151263,4,19
SVM,motionsense,motionsense,axis,LIME,0.6071428571428571,0.6035111986048025,3,7
SVM,motionsense,motionsense,axis,LIME,0.494047619047619,0.5000433014104667,2,22
SVM,motionsense,motionsense,axis,LIME,0.5535714285714286,0.5168964151317093,1,14
