Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,motionsense,axis,ORACLE,0.8035714285714286,0.8038805976247091,24,5
SVM,motionsense,motionsense,axis,ORACLE,0.7857142857142857,0.7870973808414924,23,6
SVM,motionsense,motionsense,axis,ORACLE,0.7797619047619048,0.7795273390030216,22,0
SVM,motionsense,motionsense,axis,ORACLE,0.7738095238095238,0.7739011719041343,21,2
SVM,motionsense,motionsense,axis,ORACLE,0.7678571428571429,0.767271622466048,20,3
SVM,motionsense,motionsense,axis,ORACLE,0.7797619047619048,0.7791463597506212,19,19
SVM,motionsense,motionsense,axis,ORACLE,0.7738095238095238,0.7733345601766654,18,7
SVM,motionsense,motionsense,axis,ORACLE,0.7738095238095238,0.7729410021649783,17,9
SVM,motionsense,motionsense,axis,ORACLE,0.7678571428571429,0.768956188727162,16,10
SVM,motionsense,motionsense,axis,ORACLE,0.7559523809523809,0.7550398343115258,15,22
SVM,motionsense,motionsense,axis,ORACLE,0.7559523809523809,0.7550398343115258,14,17
SVM,motionsense,motionsense,axis,ORACLE,0.7142857142857143,0.7159110904430045,13,15
SVM,motionsense,motionsense,axis,ORACLE,0.7142857142857143,0.7151560273646652,12,14
SVM,motionsense,motionsense,axis,ORACLE,0.7142857142857143,0.7151560273646652,11,21
SVM,motionsense,motionsense,axis,ORACLE,0.7083333333333334,0.7092854148775202,10,18
SVM,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.6981519023327173,9,11
SVM,motionsense,motionsense,axis,ORACLE,0.6785714285714286,0.6822364351028812,8,4
SVM,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.6992503981600958,7,20
SVM,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.6953807948006444,6,1
SVM,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.696564963086542,5,16
SVM,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.6967376736390499,4,12
SVM,motionsense,motionsense,axis,ORACLE,0.7202380952380952,0.7199027011852687,3,8
SVM,motionsense,motionsense,axis,ORACLE,0.5833333333333334,0.5799612911758342,2,23
SVM,motionsense,motionsense,axis,ORACLE,0.44642857142857145,0.3922925281978895,1,13
