Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,24,4
SVM,motionsense,motionsense,axis,SHAP,0.8095238095238095,0.8102434994147032,23,16
SVM,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8162434057170899,22,13
SVM,motionsense,motionsense,axis,SHAP,0.8511904761904762,0.8513054521826451,21,5
SVM,motionsense,motionsense,axis,SHAP,0.8214285714285714,0.8218872142645347,20,8
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8056082601613218,19,12
SVM,motionsense,motionsense,axis,SHAP,0.8273809523809523,0.8270197020904434,18,0
SVM,motionsense,motionsense,axis,SHAP,0.7916666666666666,0.7924403749711127,17,6
SVM,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7802595610049026,16,17
SVM,motionsense,motionsense,axis,SHAP,0.7619047619047619,0.7646968441216674,15,10
SVM,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7411380540543081,14,20
SVM,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7422505172314477,13,1
SVM,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7690424346249364,12,19
SVM,motionsense,motionsense,axis,SHAP,0.7321428571428571,0.7408610169012696,11,23
SVM,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.749734886200862,10,18
SVM,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7760964346773259,9,3
SVM,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.7815327021496462,8,9
SVM,motionsense,motionsense,axis,SHAP,0.7202380952380952,0.722689517945685,7,11
SVM,motionsense,motionsense,axis,SHAP,0.6130952380952381,0.6247741015598159,6,15
SVM,motionsense,motionsense,axis,SHAP,0.6190476190476191,0.6297965214391252,5,2
SVM,motionsense,motionsense,axis,SHAP,0.5833333333333334,0.5938490338445106,4,21
SVM,motionsense,motionsense,axis,SHAP,0.6071428571428571,0.6035111986048025,3,7
SVM,motionsense,motionsense,axis,SHAP,0.494047619047619,0.5000433014104667,2,14
SVM,motionsense,motionsense,axis,SHAP,0.2976190476190476,0.23308042563292053,1,22
