Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6369047619047619,0.6401136486988013,24,1
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6547619047619048,0.6595336416433303,23,12
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6428571428571429,0.6421468277417245,22,9
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6488095238095238,0.6543018092348261,21,5
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6607142857142857,0.6636220310268685,20,6
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6845238095238095,0.6868457258903483,19,23
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6369047619047619,0.6455514413485143,18,7
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6190476190476191,0.6221212830764374,17,11
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5833333333333334,0.5864980774918663,16,4
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6130952380952381,0.6201300484948444,15,17
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6011904761904762,0.6049522578303962,14,14
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6011904761904762,0.604271720906087,13,8
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5535714285714286,0.5458697033228108,12,16
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5654761904761905,0.5590407425945406,11,18
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5833333333333334,0.5653277650416019,10,19
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5773809523809523,0.5584113334113334,9,0
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6071428571428571,0.592695421993518,8,20
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5833333333333334,0.574180892000041,7,21
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6071428571428571,0.603018676707309,6,15
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6071428571428571,0.6102076322905639,5,3
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5654761904761905,0.5691039044954137,4,2
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5238095238095238,0.5297883136788911,3,13
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5,0.5054678208855842,2,10
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.23809523809523808,0.2315407322878331,1,22
