Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6845238095238095,0.6840966169766004,24,4
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6309523809523809,0.6169382922170062,23,0
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6190476190476191,0.6065301300351135,22,8
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.625,0.6078437976435406,21,6
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6190476190476191,0.601672018333287,20,20
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6369047619047619,0.6384984935872975,19,12
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6428571428571429,0.6425444008386032,18,5
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6428571428571429,0.6412316262972495,17,1
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.6576075399301944,16,23
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6428571428571429,0.6455184675133524,15,3
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.6564406731787629,14,13
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.6563398073421918,13,21
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6726190476190477,0.6744744265110585,12,16
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6607142857142857,0.6631707224201071,11,15
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6726190476190477,0.6735542724495508,10,10
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6845238095238095,0.684689869164978,9,2
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6428571428571429,0.6453397126422405,8,11
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6071428571428571,0.606752247980291,7,22
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.6130952380952381,0.6110459884436866,6,18
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.625,0.6206028624440766,5,9
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.5416666666666666,0.5450023130693885,4,19
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.5238095238095238,0.5210696608842075,3,17
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.4285714285714285,0.434589012074257,2,7
KNN,realworld_thigh,realworld_thigh,axis,LIME,0.2619047619047619,0.27032540646052033,1,14
