Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7440476190476191,0.7470179037048338,24,11
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7261904761904762,0.7258880972310121,23,4
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7023809523809523,0.7042387292107337,22,7
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7142857142857143,0.7153157498989323,21,9
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7083333333333334,0.710601885887613,20,21
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7083333333333334,0.706708216866863,19,19
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7142857142857143,0.7177529626840081,18,6
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6845238095238095,0.6879939353072685,17,18
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6904761904761905,0.6915892229750925,16,16
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7023809523809523,0.7049943934018875,15,14
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.7083333333333334,0.7114308714437106,14,20
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6904761904761905,0.6906640457240103,13,3
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6785714285714286,0.6807936507936508,12,8
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6904761904761905,0.6963894693393184,11,10
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6666666666666666,0.6686669776123241,10,15
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6904761904761905,0.693720173049661,9,0
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6488095238095238,0.6526196988093255,8,1
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6428571428571429,0.6359475841618699,7,2
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.6309523809523809,0.6098586478014515,6,13
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.5952380952380952,0.5699471945278081,5,23
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.5892857142857143,0.5758934779585593,4,17
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.5714285714285714,0.5464165464165464,3,22
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.5892857142857143,0.5944625086657745,2,5
Random Forest,realworld_thigh,realworld_thigh,axis,ORACLE,0.44642857142857145,0.432915798318882,1,12
