Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7440476190476191,0.7470179037048338,24,13
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7559523809523809,0.7592016907002045,23,5
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7738095238095238,0.7756207296642129,22,1
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7321428571428571,0.7331847358779443,21,0
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.75,0.7545118047218886,20,12
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7678571428571429,0.7708736609385726,19,8
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7738095238095238,0.7745477196623604,18,11
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7321428571428571,0.7352941176470588,17,3
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7202380952380952,0.7202964676648885,16,23
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7321428571428571,0.7340382811103865,15,4
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7261904761904762,0.7273834168585398,14,10
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6785714285714286,0.680183328082078,13,2
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6607142857142857,0.6622628730008645,12,7
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6666666666666666,0.6691642699066597,11,21
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6845238095238095,0.6856132517358423,10,6
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6011904761904762,0.6027806099923864,9,9
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.5654761904761905,0.5602109526569076,8,15
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.5952380952380952,0.5906292975620707,7,20
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.5416666666666666,0.532189452008729,6,17
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.5178571428571429,0.5122663392535481,5,16
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.494047619047619,0.4878628298033619,4,14
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.494047619047619,0.4923806408417732,3,19
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.4345238095238095,0.4280228038203246,2,18
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.23809523809523808,0.2315407322878331,1,22
