Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6130952380952381,0.6134360966493501,24,8
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5952380952380952,0.5933160284006215,23,4
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5892857142857143,0.5870642698034817,22,20
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5595238095238095,0.5613689757427897,21,19
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6071428571428571,0.6061997099767701,20,21
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6130952380952381,0.614933952869111,19,5
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6011904761904762,0.5953368372067559,18,7
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5952380952380952,0.5927145002124954,17,16
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6190476190476191,0.6218683864073935,16,10
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.625,0.6172884054340727,15,18
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6011904761904762,0.5997159057210301,14,22
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6071428571428571,0.5986655999749604,13,12
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6130952380952381,0.6079697106012896,12,15
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6369047619047619,0.6281596947365001,11,9
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5714285714285714,0.5662584637211101,10,0
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5535714285714286,0.5507302731442669,9,6
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5892857142857143,0.5909767610748002,8,13
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6130952380952381,0.6188768685993992,7,3
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5773809523809523,0.5751503936111582,6,11
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5595238095238095,0.5615610564851553,5,2
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5595238095238095,0.5653209706392271,4,17
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5119047619047619,0.5177890378119211,3,14
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5178571428571429,0.5230920215526127,2,1
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.375,0.3641206275792239,1,23
