Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6130952380952381,0.6134360966493501,24,1
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6666666666666666,0.6698652824125572,23,16
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6547619047619048,0.653194942254082,22,23
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6428571428571429,0.6400698359138961,21,13
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.7142857142857143,0.7128401058532184,20,14
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.7023809523809523,0.698810299869622,19,8
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6904761904761905,0.6886289565901484,18,11
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.625,0.6247138641738512,17,20
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6309523809523809,0.6287913550103993,16,6
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6011904761904762,0.5980429698084685,15,9
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5952380952380952,0.5929593554593554,14,2
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6190476190476191,0.6212002934429405,13,22
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.625,0.6204956400664873,12,4
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6309523809523809,0.6236548132155934,11,18
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5833333333333334,0.5756498951781971,10,15
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6071428571428571,0.6045615249332038,9,5
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6071428571428571,0.6030827816255094,8,17
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.625,0.6160433402206339,7,3
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5535714285714286,0.5500098359876389,6,10
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.494047619047619,0.4987140631690246,5,21
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.4404761904761904,0.4373181119304283,4,0
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.4226190476190476,0.4123715883114379,3,7
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5119047619047619,0.5031394141920458,2,19
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.4226190476190476,0.41744030461772397,1,12
