Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7678571428571429,0.7669984399193323,24,1
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7678571428571429,0.7629824555168613,23,3
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7559523809523809,0.749667568176696,22,10
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7559523809523809,0.7491141775347852,21,23
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7797619047619048,0.7725998766187021,20,0
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7321428571428571,0.7256432765431459,19,2
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7559523809523809,0.7492819966001876,18,5
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7380952380952381,0.7303503760748407,17,22
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7261904761904762,0.7195367945013921,16,13
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7797619047619048,0.7722618258178603,15,12
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7797619047619048,0.7744602482176649,14,8
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.75,0.7462298546253138,13,20
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7321428571428571,0.727741722195797,12,4
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7559523809523809,0.7478651336384597,11,11
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7261904761904762,0.718033327273042,10,16
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7142857142857143,0.7111213752640536,9,6
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.7202380952380952,0.7188333525500594,8,19
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.6785714285714286,0.6782485748986105,7,14
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.6785714285714286,0.6804396162886731,6,15
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.5773809523809523,0.5750544151668405,5,21
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.5476190476190477,0.5534444549679126,4,18
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.4702380952380952,0.4713704912562692,3,9
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.3869047619047619,0.3827294623131084,2,7
Random Forest,realworld_waist,realworld_waist,axis,LIME,0.2976190476190476,0.29382427267106564,1,17
