Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,uci,axis,ORACLE,0.8214285714285714,0.8199215263140729,24,0
Decision Tree,uci,uci,axis,ORACLE,0.7928571428571428,0.7915559079371016,23,22
Decision Tree,uci,uci,axis,ORACLE,0.7857142857142857,0.7848756510072128,22,2
Decision Tree,uci,uci,axis,ORACLE,0.7071428571428572,0.704758921262804,21,4
Decision Tree,uci,uci,axis,ORACLE,0.7214285714285714,0.7227264228376576,20,23
Decision Tree,uci,uci,axis,ORACLE,0.6928571428571428,0.6935659479242523,19,21
Decision Tree,uci,uci,axis,ORACLE,0.7071428571428572,0.7064819854035812,18,17
Decision Tree,uci,uci,axis,ORACLE,0.7214285714285714,0.7204481792717087,17,15
Decision Tree,uci,uci,axis,ORACLE,0.7428571428571429,0.7412151058604899,16,14
Decision Tree,uci,uci,axis,ORACLE,0.7,0.6990633927476033,15,20
Decision Tree,uci,uci,axis,ORACLE,0.7,0.6995663126476248,14,18
Decision Tree,uci,uci,axis,ORACLE,0.6928571428571428,0.6934117647058823,13,1
Decision Tree,uci,uci,axis,ORACLE,0.6214285714285714,0.6195621866530452,12,12
Decision Tree,uci,uci,axis,ORACLE,0.7214285714285714,0.7206648733695377,11,3
Decision Tree,uci,uci,axis,ORACLE,0.6571428571428571,0.6444244364412433,10,5
Decision Tree,uci,uci,axis,ORACLE,0.7,0.6982087914775565,9,9
Decision Tree,uci,uci,axis,ORACLE,0.7,0.698824894197465,8,11
Decision Tree,uci,uci,axis,ORACLE,0.6642857142857143,0.6632593550240609,7,10
Decision Tree,uci,uci,axis,ORACLE,0.6714285714285714,0.6701069106332264,6,16
Decision Tree,uci,uci,axis,ORACLE,0.6571428571428571,0.6532761432116271,5,8
Decision Tree,uci,uci,axis,ORACLE,0.6357142857142857,0.6345275414240931,4,19
Decision Tree,uci,uci,axis,ORACLE,0.5928571428571429,0.5913878576804827,3,7
Decision Tree,uci,uci,axis,ORACLE,0.5857142857142857,0.5825156978467675,2,13
Decision Tree,uci,uci,axis,ORACLE,0.4928571428571429,0.4943345503679253,1,6
