Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,uci,axis,SHAP,0.8214285714285714,0.8199215263140729,24,0
Decision Tree,uci,uci,axis,SHAP,0.7928571428571428,0.7915559079371016,23,2
Decision Tree,uci,uci,axis,SHAP,0.7285714285714285,0.729811268769803,22,12
Decision Tree,uci,uci,axis,SHAP,0.75,0.7515695927372498,21,23
Decision Tree,uci,uci,axis,SHAP,0.7142857142857143,0.7122791540455851,20,22
Decision Tree,uci,uci,axis,SHAP,0.7357142857142858,0.7363413366397153,19,18
Decision Tree,uci,uci,axis,SHAP,0.7142857142857143,0.7163211273620156,18,15
Decision Tree,uci,uci,axis,SHAP,0.6928571428571428,0.6943765696720625,17,6
Decision Tree,uci,uci,axis,SHAP,0.7214285714285714,0.7223037026418035,16,3
Decision Tree,uci,uci,axis,SHAP,0.6785714285714286,0.6793623900274146,15,1
Decision Tree,uci,uci,axis,SHAP,0.6857142857142857,0.6843874643874643,14,13
Decision Tree,uci,uci,axis,SHAP,0.6428571428571429,0.6386416153885844,13,8
Decision Tree,uci,uci,axis,SHAP,0.6142857142857143,0.6110016601541445,12,11
Decision Tree,uci,uci,axis,SHAP,0.5928571428571429,0.5912299832989488,11,4
Decision Tree,uci,uci,axis,SHAP,0.6,0.6011927884361292,10,17
Decision Tree,uci,uci,axis,SHAP,0.6785714285714286,0.6789086352244247,9,5
Decision Tree,uci,uci,axis,SHAP,0.6142857142857143,0.6109108748026477,8,16
Decision Tree,uci,uci,axis,SHAP,0.5928571428571429,0.593528713052218,7,10
Decision Tree,uci,uci,axis,SHAP,0.5928571428571429,0.5863752979824408,6,14
Decision Tree,uci,uci,axis,SHAP,0.5071428571428571,0.5043159166233186,5,21
Decision Tree,uci,uci,axis,SHAP,0.4928571428571429,0.4832611601176156,4,19
Decision Tree,uci,uci,axis,SHAP,0.45,0.4498450772644321,3,7
Decision Tree,uci,uci,axis,SHAP,0.4571428571428571,0.456235294117647,2,20
Decision Tree,uci,uci,axis,SHAP,0.29285714285714287,0.2894473667121241,1,9
