Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,uci,uci,axis,SHAP,0.85,0.8485655314757482,24,0
KNN,uci,uci,axis,SHAP,0.8285714285714286,0.8277302082222933,23,12
KNN,uci,uci,axis,SHAP,0.8428571428571429,0.8420386161457589,22,4
KNN,uci,uci,axis,SHAP,0.8357142857142857,0.8350359183851463,21,20
KNN,uci,uci,axis,SHAP,0.7857142857142857,0.7828847522615604,20,13
KNN,uci,uci,axis,SHAP,0.7357142857142858,0.7345363618980596,19,8
KNN,uci,uci,axis,SHAP,0.7571428571428571,0.7561183079215866,18,23
KNN,uci,uci,axis,SHAP,0.7285714285714285,0.7271249483399919,17,15
KNN,uci,uci,axis,SHAP,0.7214285714285714,0.7172305764411028,16,16
KNN,uci,uci,axis,SHAP,0.7142857142857143,0.7129730227843435,15,5
KNN,uci,uci,axis,SHAP,0.7142857142857143,0.7129730227843435,14,3
KNN,uci,uci,axis,SHAP,0.7,0.6972822580645162,13,22
KNN,uci,uci,axis,SHAP,0.6928571428571428,0.6924827219564061,12,1
KNN,uci,uci,axis,SHAP,0.7214285714285714,0.719022982194682,11,2
KNN,uci,uci,axis,SHAP,0.75,0.7493839579033055,10,6
KNN,uci,uci,axis,SHAP,0.7,0.6971569677780536,9,21
KNN,uci,uci,axis,SHAP,0.7357142857142858,0.7357059863034332,8,18
KNN,uci,uci,axis,SHAP,0.7428571428571429,0.7426517801094072,7,10
KNN,uci,uci,axis,SHAP,0.7,0.6982220114758738,6,14
KNN,uci,uci,axis,SHAP,0.6857142857142857,0.6804359279042311,5,17
KNN,uci,uci,axis,SHAP,0.5928571428571429,0.5890866701053458,4,11
KNN,uci,uci,axis,SHAP,0.5214285714285715,0.5157674104124408,3,7
KNN,uci,uci,axis,SHAP,0.4285714285714285,0.430011536778454,2,9
KNN,uci,uci,axis,SHAP,0.39285714285714285,0.3873220166070994,1,19
