Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,uci,axis,LIME,0.9071428571428573,0.9071155160628844,24,0
Random Forest,uci,uci,axis,LIME,0.8857142857142857,0.8855536151156465,23,1
Random Forest,uci,uci,axis,LIME,0.8857142857142857,0.8855292612727854,22,8
Random Forest,uci,uci,axis,LIME,0.8428571428571429,0.8431030903626185,21,2
Random Forest,uci,uci,axis,LIME,0.8428571428571429,0.8421450627873466,20,3
Random Forest,uci,uci,axis,LIME,0.8285714285714286,0.8279884486753645,19,4
Random Forest,uci,uci,axis,LIME,0.8285714285714286,0.8293895842156325,18,18
Random Forest,uci,uci,axis,LIME,0.8214285714285714,0.82008777941015,17,22
Random Forest,uci,uci,axis,LIME,0.8285714285714286,0.8280451127819548,16,12
Random Forest,uci,uci,axis,LIME,0.8285714285714286,0.8277412880861157,15,13
Random Forest,uci,uci,axis,LIME,0.8071428571428572,0.80683448307369,14,6
Random Forest,uci,uci,axis,LIME,0.8142857142857143,0.8136722597158169,13,23
Random Forest,uci,uci,axis,LIME,0.8142857142857143,0.8142606516290727,12,21
Random Forest,uci,uci,axis,LIME,0.7642857142857142,0.763816620190832,11,5
Random Forest,uci,uci,axis,LIME,0.7428571428571429,0.7430228613439416,10,15
Random Forest,uci,uci,axis,LIME,0.7214285714285714,0.7213914732114233,9,14
Random Forest,uci,uci,axis,LIME,0.6285714285714286,0.6273474428598014,8,10
Random Forest,uci,uci,axis,LIME,0.5785714285714286,0.5783622440086188,7,11
Random Forest,uci,uci,axis,LIME,0.55,0.54802625042487,6,7
Random Forest,uci,uci,axis,LIME,0.5785714285714286,0.580629977544153,5,16
Random Forest,uci,uci,axis,LIME,0.5571428571428572,0.5547098620869113,4,20
Random Forest,uci,uci,axis,LIME,0.55,0.5468020235165436,3,17
Random Forest,uci,uci,axis,LIME,0.4428571428571428,0.4361764394300545,2,19
Random Forest,uci,uci,axis,LIME,0.29285714285714287,0.2894473667121241,1,9
