Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,uci,axis,ORACLE,0.9071428571428573,0.9071155160628844,24,14
Random Forest,uci,uci,axis,ORACLE,0.8785714285714286,0.8786944634313055,23,0
Random Forest,uci,uci,axis,ORACLE,0.8571428571428571,0.8569555201134149,22,10
Random Forest,uci,uci,axis,ORACLE,0.8714285714285714,0.8715289180806423,21,21
Random Forest,uci,uci,axis,ORACLE,0.8785714285714286,0.8788729498835032,20,18
Random Forest,uci,uci,axis,ORACLE,0.8714285714285714,0.8711665527455,19,15
Random Forest,uci,uci,axis,ORACLE,0.85,0.8489398341122479,18,12
Random Forest,uci,uci,axis,ORACLE,0.8642857142857143,0.8627429772057138,17,7
Random Forest,uci,uci,axis,ORACLE,0.85,0.8489398341122479,16,16
Random Forest,uci,uci,axis,ORACLE,0.85,0.8492404328864132,15,11
Random Forest,uci,uci,axis,ORACLE,0.8428571428571429,0.8420260268769912,14,8
Random Forest,uci,uci,axis,ORACLE,0.8285714285714286,0.8279853499998691,13,6
Random Forest,uci,uci,axis,ORACLE,0.8357142857142857,0.8347025095857843,12,5
Random Forest,uci,uci,axis,ORACLE,0.8357142857142857,0.8343311650507044,11,3
Random Forest,uci,uci,axis,ORACLE,0.8357142857142857,0.8349947950181731,10,17
Random Forest,uci,uci,axis,ORACLE,0.8285714285714286,0.8280204342273307,9,19
Random Forest,uci,uci,axis,ORACLE,0.8214285714285714,0.8207369800338858,8,9
Random Forest,uci,uci,axis,ORACLE,0.8071428571428572,0.8065519386274103,7,22
Random Forest,uci,uci,axis,ORACLE,0.8285714285714286,0.8279768612425812,6,13
Random Forest,uci,uci,axis,ORACLE,0.6785714285714286,0.6773436227275743,5,20
Random Forest,uci,uci,axis,ORACLE,0.6642857142857143,0.6630858212545025,4,4
Random Forest,uci,uci,axis,ORACLE,0.7214285714285714,0.7205760304825469,3,2
Random Forest,uci,uci,axis,ORACLE,0.6428571428571429,0.6427333751963635,2,1
Random Forest,uci,uci,axis,ORACLE,0.45,0.43943507784013913,1,23
