Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,uci,axis,LIME,0.8642857142857143,0.8611123514649819,24,0
SVM,uci,uci,axis,LIME,0.8285714285714286,0.8254301452067543,23,4
SVM,uci,uci,axis,LIME,0.8285714285714286,0.8250763820436944,22,12
SVM,uci,uci,axis,LIME,0.8428571428571429,0.8414379276300684,21,8
SVM,uci,uci,axis,LIME,0.85,0.8481456043956044,20,20
SVM,uci,uci,axis,LIME,0.8428571428571429,0.8404076065778193,19,13
SVM,uci,uci,axis,LIME,0.8214285714285714,0.8219821768082249,18,16
SVM,uci,uci,axis,LIME,0.8285714285714286,0.8297414665965691,17,1
SVM,uci,uci,axis,LIME,0.8214285714285714,0.8228042045122482,16,6
SVM,uci,uci,axis,LIME,0.8214285714285714,0.8228042045122482,15,23
SVM,uci,uci,axis,LIME,0.8071428571428572,0.8060372357007386,14,18
SVM,uci,uci,axis,LIME,0.7857142857142857,0.7850571884256096,13,15
SVM,uci,uci,axis,LIME,0.8071428571428572,0.8060372357007386,12,22
SVM,uci,uci,axis,LIME,0.7357142857142858,0.7326132289884956,11,5
SVM,uci,uci,axis,LIME,0.7357142857142858,0.7315416065416065,10,3
SVM,uci,uci,axis,LIME,0.7785714285714286,0.777015873015873,9,2
SVM,uci,uci,axis,LIME,0.7571428571428571,0.7561391549626844,8,14
SVM,uci,uci,axis,LIME,0.7071428571428572,0.7064002261164499,7,10
SVM,uci,uci,axis,LIME,0.7142857142857143,0.7172232572274193,6,7
SVM,uci,uci,axis,LIME,0.6857142857142857,0.6881137089239434,5,21
SVM,uci,uci,axis,LIME,0.6428571428571429,0.6356717441385633,4,17
SVM,uci,uci,axis,LIME,0.6071428571428571,0.6060719158851586,3,11
SVM,uci,uci,axis,LIME,0.5071428571428571,0.4980729567773503,2,9
SVM,uci,uci,axis,LIME,0.4642857142857143,0.4419873887116956,1,19
