Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,uci,axis,ORACLE,0.8642857142857143,0.8611123514649819,24,0
SVM,uci,uci,axis,ORACLE,0.8285714285714286,0.8254301452067543,23,23
SVM,uci,uci,axis,ORACLE,0.8071428571428572,0.8038022273425499,22,18
SVM,uci,uci,axis,ORACLE,0.7357142857142858,0.7225199386901515,21,2
SVM,uci,uci,axis,ORACLE,0.7357142857142858,0.7237265807962528,20,17
SVM,uci,uci,axis,ORACLE,0.7285714285714285,0.71383658008658,19,16
SVM,uci,uci,axis,ORACLE,0.75,0.735596817271762,18,15
SVM,uci,uci,axis,ORACLE,0.7285714285714285,0.7160427241484207,17,14
SVM,uci,uci,axis,ORACLE,0.7285714285714285,0.7129705275278371,16,13
SVM,uci,uci,axis,ORACLE,0.7142857142857143,0.6973531258198568,15,12
SVM,uci,uci,axis,ORACLE,0.7214285714285714,0.7095174199623353,14,8
SVM,uci,uci,axis,ORACLE,0.6785714285714286,0.6662021531100478,13,7
SVM,uci,uci,axis,ORACLE,0.6785714285714286,0.6662021531100478,12,5
SVM,uci,uci,axis,ORACLE,0.6857142857142857,0.6722543804525978,11,9
SVM,uci,uci,axis,ORACLE,0.6857142857142857,0.6753919556836421,10,11
SVM,uci,uci,axis,ORACLE,0.6714285714285714,0.6567668600630875,9,10
SVM,uci,uci,axis,ORACLE,0.6642857142857143,0.6430402930402931,8,22
SVM,uci,uci,axis,ORACLE,0.6357142857142857,0.6185787537629577,7,1
SVM,uci,uci,axis,ORACLE,0.6428571428571429,0.6240322317148133,6,6
SVM,uci,uci,axis,ORACLE,0.6357142857142857,0.6176368821740873,5,3
SVM,uci,uci,axis,ORACLE,0.5714285714285714,0.5523777595116482,4,19
SVM,uci,uci,axis,ORACLE,0.5571428571428572,0.5140456721651157,3,20
SVM,uci,uci,axis,ORACLE,0.5857142857142857,0.5483509532845396,2,21
SVM,uci,uci,axis,ORACLE,0.42142857142857143,0.38182787419454745,1,4
