Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,uci,axis,SHAP,0.8642857142857143,0.8611123514649819,24,0
SVM,uci,uci,axis,SHAP,0.8285714285714286,0.8254301452067543,23,12
SVM,uci,uci,axis,SHAP,0.8214285714285714,0.8176921473889692,22,4
SVM,uci,uci,axis,SHAP,0.8428571428571429,0.8414379276300684,21,13
SVM,uci,uci,axis,SHAP,0.8428571428571429,0.8415626599655639,20,8
SVM,uci,uci,axis,SHAP,0.8428571428571429,0.8419025442591515,19,20
SVM,uci,uci,axis,SHAP,0.8214285714285714,0.8219821768082249,18,16
SVM,uci,uci,axis,SHAP,0.8285714285714286,0.8297414665965691,17,23
SVM,uci,uci,axis,SHAP,0.8071428571428572,0.8048502207900705,16,15
SVM,uci,uci,axis,SHAP,0.7928571428571428,0.7904862603602898,15,18
SVM,uci,uci,axis,SHAP,0.7785714285714286,0.7758460459744478,14,3
SVM,uci,uci,axis,SHAP,0.8214285714285714,0.8214052004895374,13,22
SVM,uci,uci,axis,SHAP,0.7571428571428571,0.7561328454826908,12,2
SVM,uci,uci,axis,SHAP,0.7428571428571429,0.7418254954155575,11,14
SVM,uci,uci,axis,SHAP,0.7214285714285714,0.7175628930817609,10,21
SVM,uci,uci,axis,SHAP,0.6785714285714286,0.6792960263715823,9,5
SVM,uci,uci,axis,SHAP,0.6357142857142857,0.6360304829270346,8,1
SVM,uci,uci,axis,SHAP,0.6571428571428571,0.659096572332901,7,6
SVM,uci,uci,axis,SHAP,0.6214285714285714,0.6228360746007805,6,17
SVM,uci,uci,axis,SHAP,0.6428571428571429,0.6433397364751416,5,10
SVM,uci,uci,axis,SHAP,0.6571428571428571,0.6544076488483268,4,11
SVM,uci,uci,axis,SHAP,0.6,0.594242256298352,3,7
SVM,uci,uci,axis,SHAP,0.5071428571428571,0.4980729567773503,2,9
SVM,uci,uci,axis,SHAP,0.4642857142857143,0.4419873887116956,1,19
