Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6785714285714286,0.6790034322237712,24,9
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6428571428571429,0.6438878560944439,23,5
Decision Tree,wisdm,wisdm,axis,ORACLE,0.65,0.6540100210643303,22,16
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6,0.6008494391784436,21,20
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6571428571428571,0.6624332604813586,20,0
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6357142857142857,0.6404343405073629,19,18
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6428571428571429,0.6469413518015253,18,15
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6071428571428571,0.6142414860681115,17,14
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6785714285714286,0.6817748917748918,16,21
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7,0.7018294323379071,15,2
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6857142857142857,0.6882376882376883,14,3
Decision Tree,wisdm,wisdm,axis,ORACLE,0.75,0.7535802707502448,13,17
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6928571428571428,0.6940033533649081,12,23
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7357142857142858,0.7411338655320439,11,6
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6642857142857143,0.6699986679986679,10,13
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7357142857142858,0.7354915065441381,9,19
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7928571428571428,0.7945454545454546,8,1
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7214285714285714,0.718258594439227,7,11
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6571428571428571,0.6560523781692689,6,8
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7,0.6971389574505524,5,7
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6571428571428571,0.6487228381555411,4,12
Decision Tree,wisdm,wisdm,axis,ORACLE,0.65,0.6434245898018484,3,22
Decision Tree,wisdm,wisdm,axis,ORACLE,0.5642857142857143,0.5597641161727849,2,4
Decision Tree,wisdm,wisdm,axis,ORACLE,0.37857142857142856,0.3785838847099677,1,10
