Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8352698887964978,24,4
KNN,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8144558278922812,23,0
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8349261491196975,22,8
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.835118376083068,21,20
KNN,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8140782779865532,20,12
KNN,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8076220145928265,19,5
KNN,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8125490174145661,18,6
KNN,wisdm,wisdm,axis,LIME,0.8,0.798551413662963,17,16
KNN,wisdm,wisdm,axis,LIME,0.7928571428571428,0.7923080660552456,16,1
KNN,wisdm,wisdm,axis,LIME,0.7785714285714286,0.7761212364665887,15,13
KNN,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7852988098984592,14,3
KNN,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7839233716475096,13,10
KNN,wisdm,wisdm,axis,LIME,0.7714285714285715,0.7715243965074474,12,21
KNN,wisdm,wisdm,axis,LIME,0.7714285714285715,0.7727184893445382,11,23
KNN,wisdm,wisdm,axis,LIME,0.7785714285714286,0.78006974655168,10,18
KNN,wisdm,wisdm,axis,LIME,0.75,0.7493310721688335,9,2
KNN,wisdm,wisdm,axis,LIME,0.7785714285714286,0.7786764152988062,8,15
KNN,wisdm,wisdm,axis,LIME,0.7357142857142858,0.7358773946360154,7,17
KNN,wisdm,wisdm,axis,LIME,0.7285714285714285,0.7298773924321512,6,19
KNN,wisdm,wisdm,axis,LIME,0.7285714285714285,0.7300634369737968,5,9
KNN,wisdm,wisdm,axis,LIME,0.6571428571428571,0.6569953775038521,4,11
KNN,wisdm,wisdm,axis,LIME,0.6285714285714286,0.6264809202369472,3,7
KNN,wisdm,wisdm,axis,LIME,0.4785714285714286,0.4745855519708327,2,22
KNN,wisdm,wisdm,axis,LIME,0.39285714285714285,0.3946473134708429,1,14
