Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8354537416606382,24,8
Random Forest,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7874601177997403,23,0
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8163502417243471,22,2
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8161875662187228,21,5
Random Forest,wisdm,wisdm,axis,LIME,0.85,0.8492759509093448,20,4
Random Forest,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8292715792017885,19,3
Random Forest,wisdm,wisdm,axis,LIME,0.8214285714285714,0.8214064273849544,18,20
Random Forest,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8370709519616895,17,12
Random Forest,wisdm,wisdm,axis,LIME,0.8285714285714286,0.830066025928095,16,1
Random Forest,wisdm,wisdm,axis,LIME,0.8,0.8025936279677334,15,21
Random Forest,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8082430144414319,14,6
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8142986613814618,13,16
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8148910859255686,12,13
Random Forest,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8044878398000381,11,9
Random Forest,wisdm,wisdm,axis,LIME,0.8,0.799895275108692,10,10
Random Forest,wisdm,wisdm,axis,LIME,0.8071428571428572,0.807187348920837,9,17
Random Forest,wisdm,wisdm,axis,LIME,0.7642857142857142,0.7595604395604395,8,15
Random Forest,wisdm,wisdm,axis,LIME,0.7642857142857142,0.7606754474839581,7,23
Random Forest,wisdm,wisdm,axis,LIME,0.7785714285714286,0.7795767884251944,6,7
Random Forest,wisdm,wisdm,axis,LIME,0.7285714285714285,0.7285672166754412,5,19
Random Forest,wisdm,wisdm,axis,LIME,0.6785714285714286,0.6809376230348004,4,11
Random Forest,wisdm,wisdm,axis,LIME,0.6285714285714286,0.6290663992869876,3,18
Random Forest,wisdm,wisdm,axis,LIME,0.5071428571428571,0.5081558441558441,2,22
Random Forest,wisdm,wisdm,axis,LIME,0.39285714285714285,0.39407515689077854,1,14
