Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,24,0
SVM,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8167678494945688,23,4
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8313181140448334,22,20
SVM,wisdm,wisdm,axis,LIME,0.7642857142857142,0.7656214896214897,21,8
SVM,wisdm,wisdm,axis,LIME,0.7642857142857142,0.7656214896214897,20,12
SVM,wisdm,wisdm,axis,LIME,0.7785714285714286,0.7789041285552266,19,16
SVM,wisdm,wisdm,axis,LIME,0.8,0.8015668230272558,18,6
SVM,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8077275985663082,17,5
SVM,wisdm,wisdm,axis,LIME,0.8,0.7979123737570977,16,1
SVM,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7852698412698415,15,3
SVM,wisdm,wisdm,axis,LIME,0.7785714285714286,0.7744083468116261,14,13
SVM,wisdm,wisdm,axis,LIME,0.7928571428571428,0.7919754934331207,13,21
SVM,wisdm,wisdm,axis,LIME,0.7857142857142857,0.783000147266285,12,10
SVM,wisdm,wisdm,axis,LIME,0.7785714285714286,0.7747334209853819,11,23
SVM,wisdm,wisdm,axis,LIME,0.7428571428571429,0.7417881500426258,10,2
SVM,wisdm,wisdm,axis,LIME,0.7428571428571429,0.7425702771762704,9,18
SVM,wisdm,wisdm,axis,LIME,0.7142857142857143,0.706825056371336,8,17
SVM,wisdm,wisdm,axis,LIME,0.6714285714285714,0.6643906376109766,7,9
SVM,wisdm,wisdm,axis,LIME,0.65,0.6406351819403362,6,11
SVM,wisdm,wisdm,axis,LIME,0.65,0.6406351819403362,5,22
SVM,wisdm,wisdm,axis,LIME,0.6785714285714286,0.6684938050455292,4,19
SVM,wisdm,wisdm,axis,LIME,0.6642857142857143,0.6573214007933422,3,15
SVM,wisdm,wisdm,axis,LIME,0.6071428571428571,0.5886901469186451,2,7
SVM,wisdm,wisdm,axis,LIME,0.42857142857142855,0.4069336652971679,1,14
