Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8296729196729196,24,4
SVM,wisdm,wisdm,axis,SHAP,0.8214285714285714,0.8224242424242423,23,20
SVM,wisdm,wisdm,axis,SHAP,0.7857142857142857,0.7850909090909091,22,0
SVM,wisdm,wisdm,axis,SHAP,0.7642857142857142,0.7656214896214897,21,8
SVM,wisdm,wisdm,axis,SHAP,0.7642857142857142,0.7656214896214897,20,5
SVM,wisdm,wisdm,axis,SHAP,0.7785714285714286,0.7772975835815956,19,16
SVM,wisdm,wisdm,axis,SHAP,0.8142857142857143,0.8131095913040605,18,12
SVM,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8279691895498491,17,6
SVM,wisdm,wisdm,axis,SHAP,0.8,0.7979123737570977,16,1
SVM,wisdm,wisdm,axis,SHAP,0.7857142857142857,0.7852698412698415,15,13
SVM,wisdm,wisdm,axis,SHAP,0.7928571428571428,0.7932642926915282,14,21
SVM,wisdm,wisdm,axis,SHAP,0.7857142857142857,0.783000147266285,13,3
SVM,wisdm,wisdm,axis,SHAP,0.7857142857142857,0.783000147266285,12,17
SVM,wisdm,wisdm,axis,SHAP,0.8,0.7965995314661182,11,19
SVM,wisdm,wisdm,axis,SHAP,0.7857142857142857,0.7835386119257086,10,10
SVM,wisdm,wisdm,axis,SHAP,0.7642857142857142,0.7574235949235948,9,15
SVM,wisdm,wisdm,axis,SHAP,0.7714285714285715,0.7697321889544927,8,23
SVM,wisdm,wisdm,axis,SHAP,0.75,0.7481485042975794,7,18
SVM,wisdm,wisdm,axis,SHAP,0.6642857142857143,0.6601045041753885,6,9
SVM,wisdm,wisdm,axis,SHAP,0.5928571428571429,0.5761510501077118,5,11
SVM,wisdm,wisdm,axis,SHAP,0.5642857142857143,0.5488719756651976,4,22
SVM,wisdm,wisdm,axis,SHAP,0.5785714285714286,0.572490527567904,3,2
SVM,wisdm,wisdm,axis,SHAP,0.6071428571428571,0.5886901469186451,2,14
SVM,wisdm,wisdm,axis,SHAP,0.45714285714285713,0.432458984045334,1,7
