Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,kuhar,axis,SHAP,0.8928571428571429,0.8918650793650794,24,6
Decision Tree,kuhar,kuhar,axis,SHAP,0.8869047619047619,0.8854778992936888,23,17
Decision Tree,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8678309422639368,22,0
Decision Tree,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8806092204445246,21,19
Decision Tree,kuhar,kuhar,axis,SHAP,0.875,0.8735693400167084,20,21
Decision Tree,kuhar,kuhar,axis,SHAP,0.8928571428571429,0.8918460925039872,19,2
Decision Tree,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8804805574542417,18,11
Decision Tree,kuhar,kuhar,axis,SHAP,0.8571428571428571,0.8539594340408779,17,13
Decision Tree,kuhar,kuhar,axis,SHAP,0.875,0.8750716716233957,16,8
Decision Tree,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8675110609377851,15,18
Decision Tree,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8687214831951674,14,22
Decision Tree,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8797123015873015,13,7
Decision Tree,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.879478277222638,12,9
Decision Tree,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8674652902096511,11,4
Decision Tree,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8611856702688622,10,3
Decision Tree,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8672763060013597,9,20
Decision Tree,kuhar,kuhar,axis,SHAP,0.8869047619047619,0.8856586292243084,8,15
Decision Tree,kuhar,kuhar,axis,SHAP,0.875,0.8735275663361045,7,10
Decision Tree,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8632639391260081,6,5
Decision Tree,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8803418803418803,5,14
Decision Tree,kuhar,kuhar,axis,SHAP,0.8214285714285714,0.8237924356345409,4,12
Decision Tree,kuhar,kuhar,axis,SHAP,0.6904761904761905,0.6802999111601262,3,23
Decision Tree,kuhar,kuhar,axis,SHAP,0.5773809523809523,0.5748641893832457,2,1
Decision Tree,kuhar,kuhar,axis,SHAP,0.4583333333333333,0.4622732530627267,1,16
