Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.915427236777632,24,19
KNN,kuhar,kuhar,axis,LIME,0.9107142857142856,0.9094273304752454,23,18
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.915427236777632,22,7
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.915427236777632,21,17
KNN,kuhar,kuhar,axis,LIME,0.9107142857142856,0.9094273304752454,20,11
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.915427236777632,19,5
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.915427236777632,18,9
KNN,kuhar,kuhar,axis,LIME,0.9285714285714286,0.9277068464908756,17,22
KNN,kuhar,kuhar,axis,LIME,0.9107142857142856,0.9096065761220028,16,21
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.9149069643806484,15,6
KNN,kuhar,kuhar,axis,LIME,0.9166666666666666,0.915460554237644,14,13
KNN,kuhar,kuhar,axis,LIME,0.9047619047619048,0.9034453625143076,13,2
KNN,kuhar,kuhar,axis,LIME,0.9107142857142856,0.9093191571704392,12,14
KNN,kuhar,kuhar,axis,LIME,0.9226190476190476,0.9212581828606644,11,23
KNN,kuhar,kuhar,axis,LIME,0.8571428571428571,0.8515060173568522,10,10
KNN,kuhar,kuhar,axis,LIME,0.8452380952380952,0.8403271854250732,9,15
KNN,kuhar,kuhar,axis,LIME,0.8630952380952381,0.8623983766452007,8,3
KNN,kuhar,kuhar,axis,LIME,0.8273809523809523,0.827797235473601,7,12
KNN,kuhar,kuhar,axis,LIME,0.7619047619047619,0.7611852012409842,6,1
KNN,kuhar,kuhar,axis,LIME,0.7202380952380952,0.7235503288134867,5,20
KNN,kuhar,kuhar,axis,LIME,0.7023809523809523,0.7008918128654972,4,16
KNN,kuhar,kuhar,axis,LIME,0.7202380952380952,0.7181436047679588,3,0
KNN,kuhar,kuhar,axis,LIME,0.6845238095238095,0.6785813904497946,2,4
KNN,kuhar,kuhar,axis,LIME,0.5238095238095238,0.5200990930430375,1,8
