Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,kuhar,axis,ORACLE,0.9166666666666666,0.915427236777632,24,16
KNN,kuhar,kuhar,axis,ORACLE,0.9404761904761904,0.9396852509908984,23,14
KNN,kuhar,kuhar,axis,ORACLE,0.9345238095238096,0.9339398451921138,22,6
KNN,kuhar,kuhar,axis,ORACLE,0.9285714285714286,0.9280506911737624,21,0
KNN,kuhar,kuhar,axis,ORACLE,0.9404761904761904,0.940250372356663,20,15
KNN,kuhar,kuhar,axis,ORACLE,0.9166666666666666,0.9177768822777952,19,13
KNN,kuhar,kuhar,axis,ORACLE,0.9107142857142856,0.911887728259444,18,9
KNN,kuhar,kuhar,axis,ORACLE,0.9107142857142856,0.9122237223245682,17,8
KNN,kuhar,kuhar,axis,ORACLE,0.9107142857142856,0.9118729031567496,16,23
KNN,kuhar,kuhar,axis,ORACLE,0.8988095238095238,0.9002543134131598,15,5
KNN,kuhar,kuhar,axis,ORACLE,0.9047619047619048,0.9059112831031484,14,3
KNN,kuhar,kuhar,axis,ORACLE,0.9047619047619048,0.906323760948374,13,10
KNN,kuhar,kuhar,axis,ORACLE,0.875,0.8760115228690042,12,4
KNN,kuhar,kuhar,axis,ORACLE,0.875,0.8775515334338864,11,17
KNN,kuhar,kuhar,axis,ORACLE,0.8809523809523809,0.8819328472517926,10,18
KNN,kuhar,kuhar,axis,ORACLE,0.875,0.8760261042126963,9,19
KNN,kuhar,kuhar,axis,ORACLE,0.8809523809523809,0.8813514712389257,8,20
KNN,kuhar,kuhar,axis,ORACLE,0.9166666666666666,0.9164175168561132,7,21
KNN,kuhar,kuhar,axis,ORACLE,0.875,0.8755707785717662,6,7
KNN,kuhar,kuhar,axis,ORACLE,0.8869047619047619,0.8874984596833418,5,11
KNN,kuhar,kuhar,axis,ORACLE,0.8690476190476191,0.8699886663034895,4,12
KNN,kuhar,kuhar,axis,ORACLE,0.7857142857142857,0.7805120890881625,3,2
KNN,kuhar,kuhar,axis,ORACLE,0.7976190476190477,0.7985920609604821,2,22
KNN,kuhar,kuhar,axis,ORACLE,0.6309523809523809,0.6327657455149447,1,1
