Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,24,9
Random Forest,kuhar,kuhar,axis,SHAP,0.9047619047619048,0.9045027343877918,23,7
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9165334526147816,22,19
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,21,18
Random Forest,kuhar,kuhar,axis,SHAP,0.9107142857142856,0.9105140473561524,20,17
Random Forest,kuhar,kuhar,axis,SHAP,0.9226190476190476,0.9224226066331328,19,11
Random Forest,kuhar,kuhar,axis,SHAP,0.9226190476190476,0.9224226066331328,18,21
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,17,13
Random Forest,kuhar,kuhar,axis,SHAP,0.9107142857142856,0.9105140473561524,16,6
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,15,8
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,14,5
Random Forest,kuhar,kuhar,axis,SHAP,0.9226190476190476,0.9224226066331328,13,10
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,12,3
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9164835164835164,11,20
Random Forest,kuhar,kuhar,axis,SHAP,0.9047619047619048,0.9037035766295356,10,2
Random Forest,kuhar,kuhar,axis,SHAP,0.9107142857142856,0.910096336412126,9,22
Random Forest,kuhar,kuhar,axis,SHAP,0.9107142857142856,0.9098881949547976,8,16
Random Forest,kuhar,kuhar,axis,SHAP,0.9226190476190476,0.9223190647613442,7,4
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9160193932123756,6,0
Random Forest,kuhar,kuhar,axis,SHAP,0.9166666666666666,0.9161569424727318,5,12
Random Forest,kuhar,kuhar,axis,SHAP,0.9047619047619048,0.904072034259572,4,15
Random Forest,kuhar,kuhar,axis,SHAP,0.8928571428571429,0.8922681567035496,3,1
Random Forest,kuhar,kuhar,axis,SHAP,0.7619047619047619,0.7607217545096382,2,23
Random Forest,kuhar,kuhar,axis,SHAP,0.44642857142857145,0.43682330551895765,1,14
