Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,kuhar,axis,SHAP,0.8690476190476191,0.8656773287497881,24,19
SVM,kuhar,kuhar,axis,SHAP,0.875,0.8722187115516101,23,18
SVM,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8786244883976385,22,7
SVM,kuhar,kuhar,axis,SHAP,0.8809523809523809,0.8786244883976385,21,5
SVM,kuhar,kuhar,axis,SHAP,0.875,0.8722187115516101,20,9
SVM,kuhar,kuhar,axis,SHAP,0.875,0.8722187115516101,19,17
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8595067857926088,18,2
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8594980213281471,17,6
SVM,kuhar,kuhar,axis,SHAP,0.8571428571428571,0.8529566385263251,16,11
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8595067857926088,15,22
SVM,kuhar,kuhar,axis,SHAP,0.8571428571428571,0.8520923264265491,14,21
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8584795064979396,13,10
SVM,kuhar,kuhar,axis,SHAP,0.8630952380952381,0.8584795064979396,12,3
SVM,kuhar,kuhar,axis,SHAP,0.8571428571428571,0.8524070895931115,11,13
SVM,kuhar,kuhar,axis,SHAP,0.8452380952380952,0.8397020412599835,10,14
SVM,kuhar,kuhar,axis,SHAP,0.8095238095238095,0.8005300557502372,9,20
SVM,kuhar,kuhar,axis,SHAP,0.7976190476190477,0.7875023799544055,8,23
SVM,kuhar,kuhar,axis,SHAP,0.7976190476190477,0.7889400003784143,7,12
SVM,kuhar,kuhar,axis,SHAP,0.7857142857142857,0.7757290005677936,6,15
SVM,kuhar,kuhar,axis,SHAP,0.7083333333333334,0.6961178584809632,5,0
SVM,kuhar,kuhar,axis,SHAP,0.7083333333333334,0.6996973550809913,4,8
SVM,kuhar,kuhar,axis,SHAP,0.6547619047619048,0.6378815465232037,3,1
SVM,kuhar,kuhar,axis,SHAP,0.6011904761904762,0.5732315905636106,2,4
SVM,kuhar,kuhar,axis,SHAP,0.5297619047619048,0.4545034075955061,1,16
