Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.7002992809495944,24,3
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7619047619047619,0.7631659682245217,23,19
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7380952380952381,0.7481845889186794,22,9
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7619047619047619,0.7623033128010489,21,12
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7976190476190477,0.7978021035745994,20,11
Decision Tree,motionsense,motionsense,axis,ORACLE,0.8392857142857143,0.8369421669970188,19,17
Decision Tree,motionsense,motionsense,axis,ORACLE,0.8035714285714286,0.7995423584504046,18,14
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7916666666666666,0.7889302499875094,17,13
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7261904761904762,0.7350144504279842,16,20
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7380952380952381,0.7464732116486502,15,16
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7440476190476191,0.7517714544590244,14,15
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7142857142857143,0.7234146418854066,13,23
Decision Tree,motionsense,motionsense,axis,ORACLE,0.75,0.7547406003228904,12,21
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6845238095238095,0.6880468711664746,11,22
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7202380952380952,0.7269142010084383,10,10
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7619047619047619,0.7666345226615237,9,18
Decision Tree,motionsense,motionsense,axis,ORACLE,0.7559523809523809,0.7611500348691999,8,1
Decision Tree,motionsense,motionsense,axis,ORACLE,0.75,0.7531758660768991,7,6
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.7082907340431576,6,5
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6845238095238095,0.6912440128713571,5,2
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6964285714285714,0.7001498259706929,4,8
Decision Tree,motionsense,motionsense,axis,ORACLE,0.6369047619047619,0.641472864181011,3,0
Decision Tree,motionsense,motionsense,axis,ORACLE,0.5535714285714286,0.5415239497756149,2,4
Decision Tree,motionsense,motionsense,axis,ORACLE,0.26785714285714285,0.26067579888201353,1,7
