Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,motionsense,axis,SHAP,0.6964285714285714,0.7002992809495944,24,14
Decision Tree,motionsense,motionsense,axis,SHAP,0.7142857142857143,0.719358909873812,23,21
Decision Tree,motionsense,motionsense,axis,SHAP,0.6964285714285714,0.7023021469311376,22,1
Decision Tree,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.7465689908218643,21,18
Decision Tree,motionsense,motionsense,axis,SHAP,0.6845238095238095,0.6864983532020553,20,22
Decision Tree,motionsense,motionsense,axis,SHAP,0.7023809523809523,0.7035903381534693,19,15
Decision Tree,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.740290825590868,18,20
Decision Tree,motionsense,motionsense,axis,SHAP,0.6726190476190477,0.6791619424831322,17,0
Decision Tree,motionsense,motionsense,axis,SHAP,0.7142857142857143,0.7205823015914293,16,2
Decision Tree,motionsense,motionsense,axis,SHAP,0.7023809523809523,0.7000591745397123,15,23
Decision Tree,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7457349467263965,14,17
Decision Tree,motionsense,motionsense,axis,SHAP,0.75,0.7549267399267398,13,8
Decision Tree,motionsense,motionsense,axis,SHAP,0.7202380952380952,0.721221043935565,12,11
Decision Tree,motionsense,motionsense,axis,SHAP,0.7083333333333334,0.7135689187768147,11,12
Decision Tree,motionsense,motionsense,axis,SHAP,0.7261904761904762,0.7301090390233428,10,6
Decision Tree,motionsense,motionsense,axis,SHAP,0.7857142857142857,0.7899815121498631,9,10
Decision Tree,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7412795306801966,8,3
Decision Tree,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7368165188310378,7,19
Decision Tree,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7708604314622735,6,7
Decision Tree,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.7405820624255676,5,9
Decision Tree,motionsense,motionsense,axis,SHAP,0.7202380952380952,0.7208895917002729,4,13
Decision Tree,motionsense,motionsense,axis,SHAP,0.6607142857142857,0.6684318134016415,3,16
Decision Tree,motionsense,motionsense,axis,SHAP,0.5595238095238095,0.5618829099929196,2,5
Decision Tree,motionsense,motionsense,axis,SHAP,0.4166666666666667,0.41417060178670084,1,4
