Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7833414753682556,24,14
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7833414753682556,23,2
KNN,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7708236208236209,22,7
KNN,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7708236208236209,21,15
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7831616412261573,20,22
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7814172417620693,19,9
KNN,motionsense,motionsense,axis,SHAP,0.7619047619047619,0.7659507348341249,18,3
KNN,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7716134540262836,17,21
KNN,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.7760420379158179,16,11
KNN,motionsense,motionsense,axis,SHAP,0.7797619047619048,0.7842090194131554,15,18
KNN,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7722577255206101,14,19
KNN,motionsense,motionsense,axis,SHAP,0.7619047619047619,0.7666144838558632,13,23
KNN,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.776749274117695,12,1
KNN,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.776749274117695,11,10
KNN,motionsense,motionsense,axis,SHAP,0.75,0.7544105189637262,10,17
KNN,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7412655547715775,9,20
KNN,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.7451327715360582,8,0
KNN,motionsense,motionsense,axis,SHAP,0.7261904761904762,0.731063130678482,7,6
KNN,motionsense,motionsense,axis,SHAP,0.7321428571428571,0.7328980237172328,6,12
KNN,motionsense,motionsense,axis,SHAP,0.7321428571428571,0.7270517137183803,5,5
KNN,motionsense,motionsense,axis,SHAP,0.7321428571428571,0.7250593222291335,4,13
KNN,motionsense,motionsense,axis,SHAP,0.6845238095238095,0.6820792173829942,3,8
KNN,motionsense,motionsense,axis,SHAP,0.6607142857142857,0.6642029191209519,2,16
KNN,motionsense,motionsense,axis,SHAP,0.4642857142857143,0.46314017366648946,1,4
