Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,motionsense,axis,SHAP,0.8214285714285714,0.8240506917157998,24,14
Random Forest,motionsense,motionsense,axis,SHAP,0.8333333333333334,0.8354798569785188,23,15
Random Forest,motionsense,motionsense,axis,SHAP,0.8273809523809523,0.8297481455450529,22,22
Random Forest,motionsense,motionsense,axis,SHAP,0.8571428571428571,0.8588369070825209,21,21
Random Forest,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8196554752781385,20,23
Random Forest,motionsense,motionsense,axis,SHAP,0.8333333333333334,0.836371840120599,19,11
Random Forest,motionsense,motionsense,axis,SHAP,0.8333333333333334,0.8357142857142857,18,19
Random Forest,motionsense,motionsense,axis,SHAP,0.8273809523809523,0.8298032465523959,17,7
Random Forest,motionsense,motionsense,axis,SHAP,0.8095238095238095,0.8120949142454519,16,1
Random Forest,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8160479568828025,15,9
Random Forest,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8160552897395003,14,2
Random Forest,motionsense,motionsense,axis,SHAP,0.8095238095238095,0.810859033358318,13,6
Random Forest,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.776415146809296,12,10
Random Forest,motionsense,motionsense,axis,SHAP,0.7440476190476191,0.7489501917591666,11,18
Random Forest,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.7740269180055085,10,16
Random Forest,motionsense,motionsense,axis,SHAP,0.7738095238095238,0.7762631764098412,9,12
Random Forest,motionsense,motionsense,axis,SHAP,0.7559523809523809,0.760230700460483,8,3
Random Forest,motionsense,motionsense,axis,SHAP,0.7678571428571429,0.7716827590764038,7,5
Random Forest,motionsense,motionsense,axis,SHAP,0.75,0.7534061454420083,6,17
Random Forest,motionsense,motionsense,axis,SHAP,0.6726190476190477,0.6820964724420343,5,0
Random Forest,motionsense,motionsense,axis,SHAP,0.6607142857142857,0.6699616748337233,4,4
Random Forest,motionsense,motionsense,axis,SHAP,0.6309523809523809,0.6397479401676627,3,20
Random Forest,motionsense,motionsense,axis,SHAP,0.7083333333333334,0.7106224185171555,2,8
Random Forest,motionsense,motionsense,axis,SHAP,0.43452380952380953,0.42933604271646414,1,13
