Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,motionsense,axis,ORACLE,0.8035714285714286,0.8038805976247091,24,13
SVM,motionsense,motionsense,axis,ORACLE,0.8273809523809523,0.826446167429685,23,23
SVM,motionsense,motionsense,axis,ORACLE,0.8452380952380952,0.8445639476801593,22,16
SVM,motionsense,motionsense,axis,ORACLE,0.8630952380952381,0.8618339062165536,21,12
SVM,motionsense,motionsense,axis,ORACLE,0.8690476190476191,0.8677004470722637,20,8
SVM,motionsense,motionsense,axis,ORACLE,0.8690476190476191,0.8677004470722637,19,1
SVM,motionsense,motionsense,axis,ORACLE,0.8630952380952381,0.8609552315035187,18,20
SVM,motionsense,motionsense,axis,ORACLE,0.875,0.8734027973994056,17,21
SVM,motionsense,motionsense,axis,ORACLE,0.875,0.8722150901461245,16,18
SVM,motionsense,motionsense,axis,ORACLE,0.8690476190476191,0.865954590138994,15,11
SVM,motionsense,motionsense,axis,ORACLE,0.8571428571428571,0.8544504993130287,14,4
SVM,motionsense,motionsense,axis,ORACLE,0.8571428571428571,0.854703551808815,13,10
SVM,motionsense,motionsense,axis,ORACLE,0.8273809523809523,0.8238822662467982,12,22
SVM,motionsense,motionsense,axis,ORACLE,0.8154761904761905,0.8121008621008622,11,7
SVM,motionsense,motionsense,axis,ORACLE,0.8214285714285714,0.8183542523165164,10,14
SVM,motionsense,motionsense,axis,ORACLE,0.8154761904761905,0.8121008621008622,9,15
SVM,motionsense,motionsense,axis,ORACLE,0.8095238095238095,0.8061484811484813,8,17
SVM,motionsense,motionsense,axis,ORACLE,0.8154761904761905,0.8120067580452414,7,19
SVM,motionsense,motionsense,axis,ORACLE,0.7976190476190477,0.7971403776179461,6,3
SVM,motionsense,motionsense,axis,ORACLE,0.8035714285714286,0.8030927585703272,5,2
SVM,motionsense,motionsense,axis,ORACLE,0.7797619047619048,0.7789127376635511,4,9
SVM,motionsense,motionsense,axis,ORACLE,0.6785714285714286,0.67699897709225,3,0
SVM,motionsense,motionsense,axis,ORACLE,0.5833333333333334,0.5794549266247381,2,6
SVM,motionsense,motionsense,axis,ORACLE,0.4642857142857143,0.3941605991262742,1,5
