Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,24,22
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,23,14
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,22,7
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,21,21
SVM,motionsense,motionsense,axis,SHAP,0.8095238095238095,0.8088732605232419,20,2
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,19,15
SVM,motionsense,motionsense,axis,SHAP,0.8095238095238095,0.8105715331082143,18,11
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.8038805976247091,17,9
SVM,motionsense,motionsense,axis,SHAP,0.8035714285714286,0.804035585395796,16,3
SVM,motionsense,motionsense,axis,SHAP,0.8095238095238095,0.8105523167102212,15,18
SVM,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8156282599098202,14,23
SVM,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8156282599098202,13,19
SVM,motionsense,motionsense,axis,SHAP,0.8214285714285714,0.8206654945735404,12,1
SVM,motionsense,motionsense,axis,SHAP,0.8273809523809523,0.8266658341032919,11,20
SVM,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8145681082505903,10,10
SVM,motionsense,motionsense,axis,SHAP,0.8154761904761905,0.8143379373291753,9,17
SVM,motionsense,motionsense,axis,SHAP,0.7559523809523809,0.7548868031686632,8,6
SVM,motionsense,motionsense,axis,SHAP,0.7380952380952381,0.7370082875830003,7,0
SVM,motionsense,motionsense,axis,SHAP,0.7261904761904762,0.7243573469137378,6,12
SVM,motionsense,motionsense,axis,SHAP,0.75,0.7436890284034741,5,8
SVM,motionsense,motionsense,axis,SHAP,0.7083333333333334,0.7079978686494978,4,5
SVM,motionsense,motionsense,axis,SHAP,0.7083333333333334,0.7116480622156578,3,13
SVM,motionsense,motionsense,axis,SHAP,0.6666666666666666,0.6637783039149828,2,16
SVM,motionsense,motionsense,axis,SHAP,0.32142857142857145,0.3050351297814378,1,4
