Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6369047619047619,0.6401136486988013,24,11
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6488095238095238,0.6483467616750374,23,10
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.653692832051106,22,22
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6607142857142857,0.6547862466211093,21,3
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6309523809523809,0.6311963472015641,20,15
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.7023809523809523,0.6995082392381063,19,0
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6666666666666666,0.6655231043466338,18,13
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6488095238095238,0.6426439375484941,17,14
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6488095238095238,0.6454992385219834,16,4
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.648395539014948,15,19
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6071428571428571,0.6030255215578598,14,8
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.6536054360566084,13,17
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5892857142857143,0.5793741166111432,12,20
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5297619047619048,0.5262841404905779,11,2
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5595238095238095,0.562004098084911,10,21
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5952380952380952,0.5923263570210212,9,9
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.4761904761904761,0.4537637807684977,8,16
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.4761904761904761,0.4710512150988342,7,23
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5773809523809523,0.5789105339105339,6,18
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.6369047619047619,0.6375129747873484,5,5
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5476190476190477,0.5477049341965871,4,7
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5,0.4995973514019605,3,6
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.5059523809523809,0.50315957293505,2,1
Decision Tree,realworld_thigh,realworld_thigh,axis,LIME,0.44642857142857145,0.432915798318882,1,12
