Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6369047619047619,0.6401136486988013,24,22
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6666666666666666,0.6679106773680196,23,10
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6726190476190477,0.6731694872756661,22,13
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.625,0.6250369391420706,21,2
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6488095238095238,0.6477626077626077,20,3
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6607142857142857,0.6598015669590419,19,15
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6607142857142857,0.6616925577062228,18,21
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6130952380952381,0.6109442015320529,17,20
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6011904761904762,0.6023660346196912,16,0
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6369047619047619,0.6405533669684614,15,19
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.625,0.6252863495727315,14,18
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6488095238095238,0.6507354294185427,13,16
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6369047619047619,0.6360348942674211,12,8
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6130952380952381,0.6133621609825789,11,14
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6309523809523809,0.6291905038556886,10,17
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5892857142857143,0.5909596788907133,9,4
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5773809523809523,0.5771606639826369,8,11
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5595238095238095,0.5564049772461616,7,7
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5773809523809523,0.5798735514877785,6,23
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5892857142857143,0.5846811647214002,5,6
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.6130952380952381,0.6135118824226476,4,5
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5178571428571429,0.5132549117341096,3,9
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.5059523809523809,0.50315957293505,2,12
Decision Tree,realworld_thigh,realworld_thigh,axis,SHAP,0.47023809523809523,0.4734003196264143,1,1
