Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7440476190476191,0.7470179037048338,24,22
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7660200086323837,23,18
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7440476190476191,0.7450646997929606,22,19
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7559523809523809,0.7597307004562831,21,14
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7655675644714717,20,9
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.75,0.7509919169943143,19,17
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7380952380952381,0.7418023417166851,18,20
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7380952380952381,0.7405621851699369,17,16
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7380952380952381,0.7397909667786488,16,10
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7440476190476191,0.7469057466528626,15,23
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7321428571428571,0.734801214284497,14,15
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.75,0.7459908230804418,13,21
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7738095238095238,0.7763116967956512,12,7
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7678571428571429,0.7654418411344971,11,6
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7574907025101703,10,11
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7440476190476191,0.7424997174901828,9,2
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7261904761904762,0.7255039096217611,8,4
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.6726190476190477,0.6724896019013665,7,3
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7023809523809523,0.7010284517333704,6,12
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.7261904761904762,0.7235696517412934,5,13
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.625,0.6297477032771149,4,1
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.6547619047619048,0.6564245466400925,3,8
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.5476190476190477,0.5511315834788811,2,0
Random Forest,realworld_thigh,realworld_thigh,axis,LIME,0.40476190476190477,0.4076730376687064,1,5
