Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7440476190476191,0.7470179037048338,24,22
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7619047619047619,0.7660200086323837,23,18
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7440476190476191,0.7450646997929606,22,19
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7559523809523809,0.7597307004562831,21,14
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7619047619047619,0.7655675644714717,20,16
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7619047619047619,0.7645959349923545,19,17
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7440476190476191,0.747459248789036,18,20
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7440476190476191,0.745269726247987,17,15
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7321428571428571,0.7333799956082565,16,9
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.75,0.7510860502640443,15,6
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7738095238095238,0.7769452369050859,14,21
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.75,0.7522622063529943,13,7
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7559523809523809,0.757334755395783,12,2
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7380952380952381,0.7394297762521432,11,10
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7440476190476191,0.746256407988472,10,4
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7261904761904762,0.7236589552305009,9,23
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7202380952380952,0.7164201852072997,8,3
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7380952380952381,0.7309124372394976,7,11
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7023809523809523,0.7010284517333704,6,8
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6845238095238095,0.6825493412199015,5,12
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.7023809523809523,0.7012125220458555,4,0
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.6904761904761905,0.692831095184164,3,1
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.5952380952380952,0.5954410573379753,2,5
Random Forest,realworld_thigh,realworld_thigh,axis,SHAP,0.375,0.379447338602416,1,13
