Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.75,0.7537792397660819,24,14
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7647553981106613,23,19
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7647553981106613,22,7
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7647553981106613,21,22
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7619047619047619,0.7647553981106613,20,17
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7440476190476191,0.7459207459207459,19,9
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7321428571428571,0.7343414474745159,18,18
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7321428571428571,0.7344652291152549,17,11
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7321428571428571,0.7344183594183594,16,15
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7321428571428571,0.7332553726461626,15,2
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7261904761904762,0.7288745282264725,14,23
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7083333333333334,0.7114623987993242,13,21
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7202380952380952,0.7224792949194744,12,3
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.7142857142857143,0.7154973208680836,11,10
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.6964285714285714,0.697208574737818,10,20
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.6726190476190477,0.6695411318676664,9,13
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.6607142857142857,0.6535394265232974,8,16
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.6488095238095238,0.6500542694020955,7,5
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.6309523809523809,0.6312883272967307,6,1
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.6071428571428571,0.6056394018030846,5,12
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.5833333333333334,0.5853559038250961,4,6
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.5595238095238095,0.5643976947498225,3,0
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.5238095238095238,0.4900796156504032,2,8
SVM,realworld_thigh,realworld_thigh,axis,LIME,0.39285714285714285,0.34052948455450344,1,4
