Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.75,0.7537792397660819,24,8
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7738095238095238,0.7758050967469529,23,15
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7857142857142857,0.7873767711439337,22,0
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.8035714285714286,0.8053399600580974,21,14
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.8095238095238095,0.8110281588328826,20,2
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.8095238095238095,0.8107341430246824,19,3
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7738095238095238,0.7770368140231154,18,20
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7916666666666666,0.7939479907441273,17,21
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7678571428571429,0.7693879196679473,16,17
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7738095238095238,0.7753468891020856,15,6
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7619047619047619,0.7634816740734144,14,7
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7559523809523809,0.7577355179760729,13,16
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7678571428571429,0.7700927930972951,12,19
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.75,0.7507830805278086,11,22
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7619047619047619,0.763247708686754,10,12
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7678571428571429,0.7691153081224003,9,5
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.75,0.7534541357050566,8,10
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7619047619047619,0.7639009307426674,7,13
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.7321428571428571,0.7306895133608927,6,11
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.6845238095238095,0.6836536378348712,5,9
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.6130952380952381,0.6152359904591725,4,4
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.5654761904761905,0.5543990082923033,3,1
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.3630952380952381,0.3414967348300681,2,18
SVM,realworld_thigh,realworld_thigh,axis,ORACLE,0.31547619047619047,0.3049628020558253,1,23
