Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6130952380952381,0.6134360966493501,24,19
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6011904761904762,0.5961022544515105,23,12
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6190476190476191,0.6173322025538774,22,9
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6071428571428571,0.6052643024422883,21,4
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6309523809523809,0.627694708270348,20,7
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.625,0.6239876208768108,19,15
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6190476190476191,0.6185008012884597,18,8
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6666666666666666,0.6632243366298162,17,21
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.7023809523809523,0.6986515960394143,16,14
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.7142857142857143,0.7067281384773283,15,17
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.7023809523809523,0.6913816527851616,14,6
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.7142857142857143,0.7037499170372338,13,5
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.7142857142857143,0.7096777691039987,12,2
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.7083333333333334,0.7032459719606612,11,11
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6011904761904762,0.6027322491111949,10,10
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.5595238095238095,0.5557234626045244,9,22
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6071428571428571,0.6069919346057094,8,18
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.6011904761904762,0.5995977731685537,7,0
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.5654761904761905,0.5609395096979987,6,13
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.5892857142857143,0.5966697627505377,5,23
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.5476190476190477,0.5341415823250343,4,3
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.5297619047619048,0.5291017693859469,3,20
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.5119047619047619,0.5190947000269035,2,16
Decision Tree,realworld_waist,realworld_waist,axis,LIME,0.4880952380952381,0.4901439254147714,1,1
