Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6130952380952381,0.6134360966493501,24,23
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6726190476190477,0.6690479548502299,23,1
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6904761904761905,0.6884519191553308,22,14
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6547619047619048,0.6503352490421456,21,17
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6964285714285714,0.6929234855885937,20,11
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6369047619047619,0.6304844791622205,19,2
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6369047619047619,0.6281272026189139,18,3
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6369047619047619,0.6273170544145518,17,6
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.625,0.6113678677508465,16,13
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6785714285714286,0.6724908894448235,15,15
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6071428571428571,0.6028710472678783,14,12
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5892857142857143,0.5897454397760856,13,0
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6130952380952381,0.6107385341885788,12,9
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6726190476190477,0.6702754554339162,11,22
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.6011904761904762,0.6021141219482694,10,10
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5535714285714286,0.5497516585904428,9,18
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5476190476190477,0.54880381524126,8,16
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.4583333333333333,0.4554170025676021,7,7
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5238095238095238,0.5254637805386017,6,21
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5714285714285714,0.571486606142597,5,5
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5178571428571429,0.5110000772272577,4,19
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5119047619047619,0.5045328141437889,3,20
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.5119047619047619,0.5063491074051347,2,4
Decision Tree,realworld_waist,realworld_waist,axis,ORACLE,0.43452380952380953,0.4296284649429303,1,8
