Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6130952380952381,0.6134360966493501,24,19
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6011904761904762,0.5961022544515105,23,12
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6190476190476191,0.6173322025538774,22,21
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6071428571428571,0.6012374363727024,21,7
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.625,0.6212105935336426,20,5
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6428571428571429,0.6407204486626402,19,0
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6309523809523809,0.6240386612916374,18,4
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6309523809523809,0.6310866140050503,17,17
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6607142857142857,0.6619666471388036,16,3
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6607142857142857,0.6587288901750279,15,18
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6845238095238095,0.6828029145699407,14,15
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6964285714285714,0.6965804663173084,13,10
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6785714285714286,0.6769516573432411,12,2
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6666666666666666,0.6667448042845189,11,9
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6726190476190477,0.6709993936618858,10,22
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6607142857142857,0.6547257305418149,9,20
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6309523809523809,0.6277664043673896,8,8
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.5297619047619048,0.5270682473024698,7,6
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.6547619047619048,0.6498267804033074,6,11
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.5416666666666666,0.533524698919004,5,14
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.5773809523809523,0.5670180002634687,4,13
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.625,0.6254587201072974,3,23
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.5119047619047619,0.5190947000269035,2,16
Decision Tree,realworld_waist,realworld_waist,axis,SHAP,0.4880952380952381,0.4901439254147714,1,1
