Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6130952380952381,0.6134360966493501,24,12
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.625,0.6215309590540388,23,19
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6190476190476191,0.6173322025538774,22,7
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6071428571428571,0.6011660274152953,21,0
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.625,0.6210469681436092,20,21
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6130952380952381,0.6089983692550097,19,10
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5952380952380952,0.5904432591712733,18,3
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6428571428571429,0.6419431730629287,17,17
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6369047619047619,0.6315158738344353,16,5
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6369047619047619,0.6294869957835784,15,15
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6190476190476191,0.6126523064264624,14,18
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6428571428571429,0.6401117668530524,13,4
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6785714285714286,0.6769516573432411,12,22
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6607142857142857,0.6541130706668632,11,2
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6845238095238095,0.6826612612258017,10,9
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6607142857142857,0.6547257305418149,9,6
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.7142857142857143,0.7080138078666414,8,20
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6785714285714286,0.6691559841745959,7,11
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.6309523809523809,0.6201290813476105,6,8
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5416666666666666,0.533524698919004,5,14
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5773809523809523,0.5670180002634687,4,13
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.625,0.6254587201072974,3,23
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.5119047619047619,0.5190947000269035,2,16
Decision Tree,realworld_waist,realworld_waist,axis,Tree,0.4880952380952381,0.4901439254147714,1,1
