Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7678571428571429,0.7645361804973422,24,17
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7619047619047619,0.7590956824225613,23,7
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7678571428571429,0.7652726815240887,22,19
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7738095238095238,0.7707131795988696,21,18
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7559523809523809,0.7536570183629007,20,10
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7559523809523809,0.7526234149573807,19,21
SVM,realworld_waist,realworld_waist,axis,SHAP,0.75,0.7456427015250545,18,22
SVM,realworld_waist,realworld_waist,axis,SHAP,0.75,0.746932384064737,17,14
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7440476190476191,0.7407128679564069,16,9
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7440476190476191,0.7439622416658289,15,5
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7321428571428571,0.7320543518001146,14,2
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7380952380952381,0.7376850283131439,13,11
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7321428571428571,0.7312985558958373,12,13
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7321428571428571,0.7330447194571489,11,15
SVM,realworld_waist,realworld_waist,axis,SHAP,0.75,0.7495627041871954,10,16
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7380952380952381,0.7385061180038742,9,6
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7380952380952381,0.7361029796182718,8,20
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7559523809523809,0.7534920300258693,7,23
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7202380952380952,0.7164483020984607,6,12
SVM,realworld_waist,realworld_waist,axis,SHAP,0.7142857142857143,0.7098421931953283,5,3
SVM,realworld_waist,realworld_waist,axis,SHAP,0.6726190476190477,0.6570430629254159,4,0
SVM,realworld_waist,realworld_waist,axis,SHAP,0.6547619047619048,0.6341841137506771,3,4
SVM,realworld_waist,realworld_waist,axis,SHAP,0.6607142857142857,0.6595013557528271,2,1
SVM,realworld_waist,realworld_waist,axis,SHAP,0.5059523809523809,0.47203604072621236,1,8
