Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,uci,axis,ORACLE,0.8214285714285714,0.8199215263140729,24,6
Decision Tree,uci,uci,axis,ORACLE,0.8714285714285714,0.8712961605688786,23,13
Decision Tree,uci,uci,axis,ORACLE,0.8571428571428571,0.8556063827719955,22,19
Decision Tree,uci,uci,axis,ORACLE,0.8285714285714286,0.8272033244088158,21,7
Decision Tree,uci,uci,axis,ORACLE,0.8285714285714286,0.8263515932688865,20,16
Decision Tree,uci,uci,axis,ORACLE,0.8,0.7987776633545789,19,10
Decision Tree,uci,uci,axis,ORACLE,0.8428571428571429,0.8394844357666307,18,8
Decision Tree,uci,uci,axis,ORACLE,0.8142857142857143,0.8106345332325174,17,11
Decision Tree,uci,uci,axis,ORACLE,0.8428571428571429,0.840484882221418,16,9
Decision Tree,uci,uci,axis,ORACLE,0.8285714285714286,0.8260915995209356,15,5
Decision Tree,uci,uci,axis,ORACLE,0.8,0.7974363430973025,14,20
Decision Tree,uci,uci,axis,ORACLE,0.8357142857142857,0.835319026731922,13,3
Decision Tree,uci,uci,axis,ORACLE,0.8214285714285714,0.820948947604391,12,12
Decision Tree,uci,uci,axis,ORACLE,0.7642857142857142,0.7656396539675654,11,14
Decision Tree,uci,uci,axis,ORACLE,0.8,0.7988378641541161,10,1
Decision Tree,uci,uci,axis,ORACLE,0.7857142857142857,0.7848041575910429,9,18
Decision Tree,uci,uci,axis,ORACLE,0.7285714285714285,0.7271406795718496,8,17
Decision Tree,uci,uci,axis,ORACLE,0.7571428571428571,0.7565352252103613,7,21
Decision Tree,uci,uci,axis,ORACLE,0.8357142857142857,0.8356755525176578,6,15
Decision Tree,uci,uci,axis,ORACLE,0.7571428571428571,0.75621027479092,5,23
Decision Tree,uci,uci,axis,ORACLE,0.7,0.6984039926528575,4,4
Decision Tree,uci,uci,axis,ORACLE,0.6785714285714286,0.6724834180377293,3,2
Decision Tree,uci,uci,axis,ORACLE,0.7,0.6967264235390891,2,22
Decision Tree,uci,uci,axis,ORACLE,0.5357142857142857,0.532742949274369,1,0
