Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,uci,axis,SHAP,0.8214285714285714,0.8199215263140729,24,9
Decision Tree,uci,uci,axis,SHAP,0.8357142857142857,0.834157314880555,23,20
Decision Tree,uci,uci,axis,SHAP,0.85,0.8494324449496864,22,7
Decision Tree,uci,uci,axis,SHAP,0.8642857142857143,0.8638092479857054,21,19
Decision Tree,uci,uci,axis,SHAP,0.85,0.8498175515416895,20,21
Decision Tree,uci,uci,axis,SHAP,0.8357142857142857,0.8349548055057763,19,14
Decision Tree,uci,uci,axis,SHAP,0.8071428571428572,0.8057967349683952,18,10
Decision Tree,uci,uci,axis,SHAP,0.8285714285714286,0.8289450899977215,17,16
Decision Tree,uci,uci,axis,SHAP,0.8142857142857143,0.8134217551701941,16,5
Decision Tree,uci,uci,axis,SHAP,0.8214285714285714,0.8212484188527744,15,17
Decision Tree,uci,uci,axis,SHAP,0.8071428571428572,0.8064856744588452,14,4
Decision Tree,uci,uci,axis,SHAP,0.8071428571428572,0.8058827224125,13,11
Decision Tree,uci,uci,axis,SHAP,0.8285714285714286,0.8283094098883573,12,8
Decision Tree,uci,uci,axis,SHAP,0.8285714285714286,0.8281244298485678,11,13
Decision Tree,uci,uci,axis,SHAP,0.8,0.799194419884075,10,1
Decision Tree,uci,uci,axis,SHAP,0.8357142857142857,0.8349748497116918,9,3
Decision Tree,uci,uci,axis,SHAP,0.8142857142857143,0.8133070888243303,8,6
Decision Tree,uci,uci,axis,SHAP,0.8214285714285714,0.8207759455912218,7,15
Decision Tree,uci,uci,axis,SHAP,0.7785714285714286,0.7784802043422733,6,18
Decision Tree,uci,uci,axis,SHAP,0.7071428571428572,0.7077621954572952,5,22
Decision Tree,uci,uci,axis,SHAP,0.7785714285714286,0.7784263905199102,4,23
Decision Tree,uci,uci,axis,SHAP,0.6714285714285714,0.6663314472794563,3,12
Decision Tree,uci,uci,axis,SHAP,0.6428571428571429,0.6425093607829981,2,2
Decision Tree,uci,uci,axis,SHAP,0.5357142857142857,0.532742949274369,1,0
