Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,uci,uci,axis,ORACLE,0.85,0.8485655314757482,24,16
KNN,uci,uci,axis,ORACLE,0.8642857142857143,0.8641095746358906,23,9
KNN,uci,uci,axis,ORACLE,0.8642857142857143,0.8633859709592585,22,17
KNN,uci,uci,axis,ORACLE,0.8785714285714286,0.8778940945429529,21,22
KNN,uci,uci,axis,ORACLE,0.8857142857142857,0.8852053496198484,20,10
KNN,uci,uci,axis,ORACLE,0.8642857142857143,0.8632721845897414,19,21
KNN,uci,uci,axis,ORACLE,0.8714285714285714,0.8706288985150514,18,11
KNN,uci,uci,axis,ORACLE,0.8785714285714286,0.8782193197523176,17,1
KNN,uci,uci,axis,ORACLE,0.8714285714285714,0.8710707716696827,16,6
KNN,uci,uci,axis,ORACLE,0.8857142857142857,0.8856066227434447,15,19
KNN,uci,uci,axis,ORACLE,0.8785714285714286,0.8785804375096571,14,15
KNN,uci,uci,axis,ORACLE,0.8714285714285714,0.8715289180806423,13,3
KNN,uci,uci,axis,ORACLE,0.8714285714285714,0.8710069870546044,12,2
KNN,uci,uci,axis,ORACLE,0.8642857142857143,0.8635524692768058,11,20
KNN,uci,uci,axis,ORACLE,0.8357142857142857,0.8348418934598705,10,5
KNN,uci,uci,axis,ORACLE,0.8071428571428572,0.8062637362637363,9,18
KNN,uci,uci,axis,ORACLE,0.8357142857142857,0.8344262074509642,8,13
KNN,uci,uci,axis,ORACLE,0.8285714285714286,0.8270083381845599,7,0
KNN,uci,uci,axis,ORACLE,0.7428571428571429,0.7423586142480152,6,12
KNN,uci,uci,axis,ORACLE,0.75,0.7515762006025165,5,7
KNN,uci,uci,axis,ORACLE,0.6857142857142857,0.6872082166199813,4,4
KNN,uci,uci,axis,ORACLE,0.7214285714285714,0.7195851327807402,3,8
KNN,uci,uci,axis,ORACLE,0.5142857142857142,0.5188436581101701,2,23
KNN,uci,uci,axis,ORACLE,0.45,0.44206008830593546,1,14
