Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,uci,uci,axis,SHAP,0.85,0.8485655314757482,24,19
KNN,uci,uci,axis,SHAP,0.85,0.8492307692307692,23,9
KNN,uci,uci,axis,SHAP,0.8642857142857143,0.8630753353973167,22,7
KNN,uci,uci,axis,SHAP,0.8428571428571429,0.8415441127045696,21,11
KNN,uci,uci,axis,SHAP,0.85,0.8478231653404068,20,17
KNN,uci,uci,axis,SHAP,0.85,0.8485654725262511,19,14
KNN,uci,uci,axis,SHAP,0.8571428571428571,0.8560196872271177,18,10
KNN,uci,uci,axis,SHAP,0.85,0.8475427425763303,17,18
KNN,uci,uci,axis,SHAP,0.8285714285714286,0.8266403490836902,16,21
KNN,uci,uci,axis,SHAP,0.8214285714285714,0.8204097300261439,15,6
KNN,uci,uci,axis,SHAP,0.8285714285714286,0.8264899910420492,14,2
KNN,uci,uci,axis,SHAP,0.8071428571428572,0.8046636180494253,13,1
KNN,uci,uci,axis,SHAP,0.8357142857142857,0.8348162260855758,12,22
KNN,uci,uci,axis,SHAP,0.8214285714285714,0.819249860427346,11,3
KNN,uci,uci,axis,SHAP,0.7928571428571428,0.7895653947616997,10,5
KNN,uci,uci,axis,SHAP,0.8071428571428572,0.8050144437587757,9,16
KNN,uci,uci,axis,SHAP,0.8142857142857143,0.8138352490421455,8,15
KNN,uci,uci,axis,SHAP,0.7571428571428571,0.7574516160723057,7,23
KNN,uci,uci,axis,SHAP,0.6857142857142857,0.6785660392584075,6,8
KNN,uci,uci,axis,SHAP,0.6642857142857143,0.6624984785400514,5,13
KNN,uci,uci,axis,SHAP,0.6142857142857143,0.6119083315485114,4,20
KNN,uci,uci,axis,SHAP,0.6642857142857143,0.6558413249875034,3,4
KNN,uci,uci,axis,SHAP,0.6857142857142857,0.677788062471435,2,12
KNN,uci,uci,axis,SHAP,0.6,0.5926315141441192,1,0
